stage,axial,blastomeres,epidermis,fin.epithelia,glial,gut,mesenchyme,muscle,neural,olfactory,periderm,somites
  3-4,11.62,35.94,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,0,0,0,0,0,0,0,0,0,10.99,0
 14-21,0,0,1.19,0,0,0,0,0,0,0,3.08,1.67
 24-34,0,0,0,0,0,0,0,0,0.98,0,2.17,0
 36-46,0,0,0,0,0,0,0,0.65,0,0,3.12,0
 48-58,0,0,3.04,0,0,0,0,0,0.93,0,1.51,0
 60-70,0,0,0,0,0,0,0,0,0,0,7.83,0
 72-82,0,0,0,0,0.53,0,0,1.33,0,0,0,0
 84-94,0,0,0.7,0,0,0.66,0,0,0,0,5.74,0
 96-106,0,0,0,0,0,0,0,0,0,0,6.49,0
108-118,0,0,0.42,1.14,0,0,0,0,0,0,4.25,0
120,0,0,5.58,0,0,0,6.09,0,0,1.11,1.09,0
