stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,31.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.61,0,0,0,12.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.22,0,0,0,9.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.82,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0.86,0,0,0,23.47,0.87,0,0,0,0,0,0,0,25.4,0,0,0,0,0
 24-34,0,0,1.12,0,0,32.65,0,0,0,102.86,0,0,0,2.06,0,0,1.22,10.65,0,0,4.76,170.76,2.08,0,0,0,0,0,0,0,40.14,0,0,0,0,0
 36-46,0,0,0,0,0,66.2,0,0.93,0,430.91,0,0,0,0,0,0,0,21.77,0,0,1.69,302.01,0.55,0,0,0,0,9.91,0,0,101.48,0,0,0,0,0
 48-58,0,0,0,0,0,113.7,0,0,0,1100.72,0,0.4,0,0,0,0,1.87,18.36,0,0.43,1.92,517.57,0,0,0.54,0,0,2.84,0,0,601.27,0,0,0,0,1.89
 60-70,0,1.34,2.98,0,0,98.7,0,2.35,0,2349.87,0.9,1.2,0,0,0,0,0,20.08,0,0,0,332.41,0,0,0,0,0,3.75,0,1.8,693.53,0,0.84,5.11,0,9.49
 72-82,0,0,27.08,5.42,0,218.42,0,0.75,11.99,4346.73,0.71,0,0,3.72,0.65,1.92,0,65.82,8.82,1.23,0.51,383.87,0,0,3.84,0,1.2,0.58,0,0,377.61,4.83,3.49,5.21,0,0
 84-94,0,0,7.66,0,0,226.23,0,0.92,0,3091.78,0,0,0,4.64,0,5.16,0,36.92,0,4.21,3.99,282.51,0,0,3.28,0,0,0,2.8,0,371.77,1.99,0,0,3.95,0
 96-106,0,0,29.01,0,0,171.95,0,1.89,0,3510.16,0,3.36,0,0,0,19.68,0,23.89,0,1.95,3.73,263.52,0,0,3.24,0,0,0,0,0,366.21,0,3.67,1.49,0,0.91
108-118,0,0,11.17,0,2.97,126.29,0.67,0,0,3395.38,0,1.16,3.62,0,0,0,1.34,38.74,6.69,0,1.34,203.1,0,0.64,10.11,0,0,0.46,0,0,241.14,1.11,0,1.51,4.21,0
120,0,0,19.39,3.39,0,143.3,0,4.15,0,3660.31,1.22,4.09,0,0,5.07,0,4.02,17.1,0,0,0,296.62,0,0,1.47,0,0,1.3,0,0,217.67,0,1.46,0,0,0
