stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.23,0,0,0,4.85,0,0,0,16.09,0,0,0,0,0,0,0,0
 14-21,0,18.77,5.02,0,0,0,0,0,0,1.25,0,5.78,0,0,0,0,0,11.62,0,0,26.31,37.17,0,6.94,0,0,0,0,0,0,0,33.66,28.85,0,0,0,0,0
 24-34,0,19.4,0,0.87,0,1.75,0,0,1.46,0,0,31.08,0,0,0,0,0,29.55,0,0,29.12,253.1,0,3.31,0,0,0,2.67,0,3.28,0,0.79,71.09,0,0,0.74,0,2.31
 36-46,0,6.72,1.59,0,0,8,0,0,5.97,0,0,21.11,0,0,0,0,0,67.63,0,0,13.07,571.06,0,1.14,0,0,0,12.12,0,0,0,0,82.02,0,0,0,0,0
 48-58,0,7.77,2.93,0,0,54.01,0,8.35,8.27,10.8,0,12.91,0,0,0.74,0,2.11,90.94,0,0,29.72,1030.38,0,2.37,0,0,0.95,8.65,0,0,0,0,110.66,0,1.35,0.48,0,7.05
 60-70,0,4.86,4.79,0,0,112.67,0.59,0,7.11,8.15,4.03,16.59,0,0,0,0,0,165.64,0,7.1,11.14,1459.11,4.83,1.78,0,0,3.93,4.89,0,0,2.94,0,150.13,0,8.16,1.06,2.06,8.59
 72-82,0,23.03,8.85,0.54,0,207.57,0.98,0,16.51,24.69,3.33,8.23,1.78,3.2,0,1.54,0,381.15,1.83,22.76,19.52,2041.14,0,0,0,0,23.55,2.23,0,0,0,0,188.96,0.95,18.97,3.42,22.21,0
 84-94,0,19.82,8.62,3.9,0,161.96,0,0,1.51,17.96,3.15,2.76,1.88,0,0.65,0,5.31,277.2,0,13.58,13.15,1481.95,0,2.7,3.29,0,13.05,4.11,0,2.8,0,0,89.71,0,22.81,0,22.35,0
 96-106,0,23.8,6.92,22.07,0,156.25,0,0.59,7.04,13.13,8.49,5.48,3.27,0,0.85,9.94,0,271.07,0,9.95,19.49,1532.25,0,2.31,5.91,0,28.69,2.82,0,0,0,0,70.16,4.79,15.48,3.19,25.51,0
108-118,0,21.64,19.76,0.85,0,161.81,0.59,5.74,4.06,25.21,1.98,19.45,0.59,0,0.92,0,0,281.58,0,23.99,6.54,1448.11,0,4.78,9.55,0,41.96,2.16,0,0,0,0,52.55,1.86,22.82,2.98,41.62,0
120,0,7.2,12.18,1.36,2.68,253.64,0,1.17,16.94,22.88,16.81,26.72,0,1.29,0,0,0,368.17,5.62,74.96,7.13,2046.76,0,0,1.55,0,26.06,1.26,1.12,0,0,0,68.68,0,36.4,12.57,79.13,0
