stage,epidermis,eye,fin.epithelia,immune,mesenchyme,neural,periderm
 14-21,0,0,0,0,1.56,2.5,0
 24-34,0,0,0,0,2.09,1,4.48
 36-46,0,1.85,0,0,0,1.73,0
 48-58,0,0,0,0,0,0.49,0
 60-70,0,0,0,0,0,5.66,0.85
 72-82,0.7,0,0,0.68,0,3.63,1.14
 84-94,0,0,2.31,0,0,5.53,0
120,0,0,0,0,0,25.45,7.15
