stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,62.92,305.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.88,443.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.02,0,0,0,0,0,17.14,0,0,0,0,0,0,0,0,0,0,0
  7-9,43.57,0,78.3,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,188.99,0,0,0,26.34,0,17.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,31.75,0,0,11.92,0,0,0,0,0,7.19,0,0,0,3.73,0,0,0,0,0,182.89,14.4,0,0,34.26,0,66.73,5.85,0,28.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,41.35,0,0.92,0,0,0,2.16,0.85,0,0,1.69,0,163.47,0,8.83,0.95,0,2.82,33.68,1.23,0,0,1.37,0,835.78,0,0.81,0,2.09,8.51,11.91,0,0,0,0,0
 24-34,0,0,0,4.67,0,4.5,0,0,0.68,0,1.63,0,3.83,2.32,0,73.76,0,6.05,4.27,0,14.78,112.56,0,1.44,0,0,0,867.71,0,0,2.36,0,3.87,11.76,0,0,0,0,0
 36-46,0,0,0,1.99,0,4.24,1.84,4.12,1.48,2.83,0,0,0,0,0,11.36,0,14.3,1.01,0,1.24,111.01,0,0,0,0,0,799.98,0,0,0,0,0,20.17,0,0,6.29,0,1.45
 48-58,0,0,0,3.15,0,25.45,0,5,1.27,3.31,0,0.54,0,1.69,0,4.78,0.58,100.59,2.37,0,2.8,76.79,0.38,1.18,0.38,0,0,486.78,0,0,0,0,0,10.92,0,0,0,0,5.12
 60-70,0,0,0,0,7.96,43.52,0,4.53,2.48,5.39,0,0,0,1.74,0,0,0,153.52,0,0,1.84,79.53,2.55,0,0,0,0,430.04,0,0,0,0,0,12.08,0,0,2.58,0,9.86
 72-82,0,0,0,6.56,0,39.36,0,2.62,3.58,2.45,0,0,0.52,3.01,0.57,0,0,236.42,0.79,0,2.65,55.67,0,0,0,0,0,199.03,0,0,1.24,0,0,4.95,0.81,0,0,0,9.15
 84-94,0,0,0,7.48,1.52,16.42,0,2.47,0,6,1.78,0,2.59,3.08,1.02,1.64,0,395.41,1.42,0,0.7,28.95,0,0,0,0,0,559.64,0,0,0,0,0,0.99,0,0,0,0,5.96
 96-106,0,0,0,2.61,2.07,9.93,0,3.51,0,9.34,1.85,0,0,0.74,0,0,0,273.26,11.82,0,1.29,30.47,0,0,0,0,3.48,413.46,0,0,0,1.41,0,0,0,0,5.73,1,23.82
108-118,0,0,0,6.97,0,8.28,0,6.74,3.52,12.55,2.42,0,1.63,2.55,0.84,0,0,205.99,4.54,0,2.14,66.38,0,1.23,3.05,0,0,318.82,0,0,0,0,0,3.35,0.55,0,4.59,0,10.77
120,0,0,0,3.09,0,0,0,1.45,10.73,12.38,0,0,0,0,0,0,0,305.82,2.91,8.5,1.02,55.2,0,0,14.64,0,0,170.08,0,0,0,0,0,0,0,2.93,0,0,2.85
