stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,274.13,6569.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.57,0,0,0,0,0,0,0,0,0,0
  5-6,611.85,8085.52,10.49,0,0,0,0,0,0,0,0,70.1,0,0,0,0,0,0,0,0,0,0,0,207.22,27.87,0,0,45.42,0,127.69,0,0,0,0,0,0,0,0,0,0
  7-9,149.58,128.85,225.08,0,0,0,310.45,0,0,0,0,293.68,0,0,0,0,0,0,0,0,0,0,0,3444.88,94.15,0,0,1454.48,0,32.06,169.08,0,0,0,0,0,0,0,0,0
 10-12,0,98.96,156.58,0,45.85,0,274.61,0,0,0,0,42.86,0,0,0,0,0,0,0,0,0,0,0,2448.72,70.74,0,0,933.71,0,13.49,35.51,9.18,160.55,5.74,0,0,0,0,0,0
 14-21,0,0,10.96,289.77,52.52,0,61.35,0,0,14.76,11.1,0.86,1.15,0,13.17,0,0,0,0,84.8,0,0,78.52,721.16,131.62,1.2,6.55,32,0,79.28,0,85.21,8.72,97.79,248.85,0,0,6.44,0,0
 24-34,0,0,3.68,173.48,24.69,0,220.83,0,0.61,33.47,2.67,0,7.34,7.23,7.89,1.94,2.9,0,0,247.85,4.39,4.85,115.33,1882.95,106.82,13.72,14.16,0,0,189.06,0,0,2.21,12.09,441.9,0,0,122.9,0,4.19
 36-46,0,0,0.56,132.16,9.85,0,530.48,2.24,0,54.66,0,0,12.12,17.23,3.58,21,4.25,0,0,261.19,2.08,19.39,98.36,1345.75,31.48,3.21,3.63,0,0,95.54,0,0,3.04,0,363.55,0,0,62.97,0,4.21
 48-58,0,0,0,165.59,10.41,0,666.14,18,0.67,43.18,2.24,0,10.16,9.4,3.64,1.6,0.99,14.03,0.54,246.25,9.01,18.45,45.77,886.33,35.2,1.99,7.91,0,0.39,37.84,0,0,2.64,0,140.05,0,0,52.51,0,7.52
 60-70,0,0,0,155.52,1.63,0,457.24,4.44,0.86,51.42,9.69,0,4.76,11.5,0,0,0.73,0,0,168.36,5.1,41.69,25.42,504.35,29.63,1.94,1.8,0,0,24.43,0,0,0,0,16.26,4.26,0,22.73,0,2.86
 72-82,0,0,0,73.94,3.18,0,127.12,4.14,0,47.88,7.42,0,2.79,19.39,4.56,1.24,0,0,0,223.11,2.58,20.67,20.67,212.29,8.86,2.63,1.77,0,4.01,12.29,0,0,2.64,0,6.93,0,0.56,44.19,2.3,4.72
 84-94,0,0,0.78,60.04,2.4,0,155.2,1.42,0,33.13,11.39,0,1.81,11.83,0.65,1.47,0,4.99,0,138.12,0,16.19,17.43,192.74,21.57,2.9,6.36,0,1.01,13.86,0,0,5.32,0,11.93,3.49,2.54,38.51,0,0
 96-106,0,0,0,53.03,10.9,0,90.21,1.79,0,42.22,14.97,0,4.78,18.33,2.61,1.28,3.54,5.5,0,79.21,0,8.11,10.51,130.38,16.91,6.51,5.78,0,2.27,26.48,0,0,7.2,0,3.52,0,0,24.08,1.66,0
108-118,0,0,0,44.3,14.36,2.51,112.92,0.53,0,55.97,13.62,0,4.66,15,2.45,5.09,0,1.53,0.72,96.45,0,11.73,14.19,208.77,14.71,2.14,2.29,0,0,17.14,0,0,8.76,0,4.72,5.8,0,27.43,7.54,0
120,0,0,0,22.32,22.65,0,131.55,2.41,0,70.29,1.96,0,5.36,19.74,1.36,2.41,1.84,2.32,0,73.5,0,13.87,5.9,278.5,10.43,0,5.32,0,0,7.75,0,0,0,0,17.23,1.65,0,52.57,12.2,0
