stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,liver,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,113.2,3523.22,0,0,0,0,0,0,0,0,0,93.44,0,0,0,0,0,0
  5-6,129.21,1917.31,0,0,0,0,0,0,58.8,0,8.57,76.76,0,0,0,0,0,0
  7-9,36.85,17.39,29.19,0,82.03,0,43.88,0,687.63,45.72,298.2,4.5,7.32,0,0,0,0,0
 10-12,0,0,21.31,0,23.49,0,0,0,138.19,6.14,57.02,0,0,8.3,0,0,0,0
 14-21,0,0,0,3.09,0,2.04,0,0,12.02,0.83,0,1.66,0,0,0.99,4.97,0,0
 24-34,0,0,0,0,0.93,0,0,1.49,2.52,1.96,0,1.46,0,0,0,0,1.24,0
 36-46,0,0,0,0,0,0,0,0,1.8,0,0,0.58,0,3.52,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0
