stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.82,810.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.45,0,0,0,0,0,0,0,0
  5-6,18.74,126.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.83,5.93,0,0,0,0,0,7.7,0,0,0,0,0,0,0
 10-12,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,8.98,0,0,0,0,0,0,0,0,12.92,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,6.33,45.47,0,2.36,0,1.47,0,0,0.63,0.92,29.33,0,0,0,0,1.63,0,0,1.48,14.31,0,0,11.58,0,0,26.32,0,0,0,1.89,0,1.51,0,0
 36-46,0,0,0,0,7.61,5.38,0,2.42,0,2.77,0,0,1.07,0,81.8,0,0.94,0,0,3.55,0,0,0,13.08,0,0,0,0,0,111.68,0,1.06,0,0,0,0,0,0
 48-58,0,0,0,0,10.68,2.94,0,4.77,0,9.46,1.48,0.59,0.38,0,62.97,1.82,0,0.62,0,1.4,0,0,0.44,7.32,0,1.6,0.68,0,0,126.9,0,0.68,0,0.4,0,2.34,0,0
 60-70,0,0,0,0,31.62,0,0,1.38,0,18.52,0,1.55,0,0,29.73,0,3.46,1.21,1.19,0.7,0,0,0,14.78,0,3.43,3.7,0,0,104.37,0,0,0,1.42,0,0,0,1.44
 72-82,0,0,0.58,0,37.26,1.69,0,0.67,0,10.12,0,0,2.62,0,83.47,1.06,3.74,0,4.96,3.3,1.51,1.76,0,7.6,0,5.06,1.76,0,0,155.41,0,0.57,0,5.75,6.77,2.31,3.81,0
 84-94,0,0,0,0,84.36,2.97,0,0.82,0,40.7,0,0.66,1.3,0.8,126.77,0,1.92,1.38,1.18,11.43,0,0,0,11.63,0,5.12,7.81,0,0,203.42,0,2.56,0,0.82,1.99,6.36,0.91,0
 96-106,0,0,3.8,0,77.69,4.83,0,15.44,0,31.13,2.73,0,2.12,0.88,141.19,0,4.82,6.52,0,7.61,3.11,0,0,15.72,0,7.7,6.39,0,0,221.87,0,1.47,0,0.67,7.16,7.37,0,6.4
108-118,0,0,0,0,113.32,6.3,1.27,10.18,0,48.09,0,0,4.07,0,123.34,0.75,8.68,6.42,1.36,5.67,2.74,0,0,12.59,0,9.05,7.73,0,1.32,158.17,0,2.25,0.56,4.77,8.41,3.18,0.48,0
120,0,0,0,0,71.32,27.52,0,4.23,1.26,32,0,9.78,0,10.58,142.88,1.35,0,0,0,1.76,1.39,0,0,19.63,0,8.02,16.61,0,0,194.38,0,3.85,0,0,12.75,1.54,0,0
