stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.41,0,0,8.01,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,27.76,0,0,0,12.52,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.57,0,0,16.37,0,0,0,0,0,12.45,0,0,0,0,0,0,0,0,0,0,0,119.26,3.57,0,0,24.5,0,0,6.12,0,0,0,0,0,0
 14-21,0,0,0.91,12.85,0.81,5.61,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0.83,197.49,0,0,0,0,0,0,0,109,0,0,0,0,0
 24-34,0,2.88,0,0.7,0,6.39,0,0,0,1.8,0.64,0,0,0,0,0,0,0,0,6.63,0,0,1.09,895.48,0,7.12,0.83,0,0,2.45,0,258.06,0,0,2.08,0,0
 36-46,0,0.95,0,0,0,46.55,0,0,0,5.94,0,0,0.92,0,0,0,0,0,0,7.23,0,0,0.86,1627.88,0,4.34,0,0,0,15.22,0,371.09,0,0,0.69,0,0
 48-58,0,0,0,5.03,0,268.37,1.44,0,0.4,21.27,0,0,0,0.47,2.75,0,0,3.35,0,8.29,0,0,2.21,2286.71,2.42,1.18,0,0,0,5.69,0,410.79,0,0,0,0,13.7
 60-70,0,0,0,4.95,0,901.05,0,0,0,31.08,0,0,0,0,0,0,0.72,0,0,50.86,0,0,0,3266.74,0,4.92,0,0,0,0.64,0,564.22,0,0.69,2.23,0.59,4.78
 72-82,0,0,0,7.71,2.82,1165.97,0,2.75,3.08,53.32,3.25,0,0,0,0,2.68,0,1.03,0,35.31,0,0.91,0.95,3220.78,0,1.81,4.36,0,0,7.32,0,430.29,2.32,0,0.89,0.52,7.46
 84-94,0,0,0,12.6,4.47,756.86,0,0,0,48,0,0,0.88,0.56,1.68,0.95,0.69,0,5.31,29.68,4.17,0,0.95,1861.2,0,3.6,1.83,0,0,10.95,0,261.63,0,1.69,5.81,1.25,0
 96-106,0,0,0,14.25,3.21,667.26,1.64,2.16,0,61.51,2.13,0,0,3.78,0,4.14,1.04,36.38,0,33.29,2.18,1.14,6.01,2106.43,0.81,2.85,0,0,0,5.2,0,170.14,0,0,0.74,1.91,9.61
108-118,0,0.71,0,25.13,6.34,714.89,1.3,0.43,0,43.31,0,0,0,3.47,0.86,2.73,0,0,0,18.58,1.41,3.6,1.62,2287.59,0,8.81,0.53,0,0.87,3.17,0,92.03,0,0,2.06,0.61,0
120,0,0,0,17.38,0,659.45,0,1.21,0,83.57,4.54,0,0,6.05,0,3.86,0,0,0,11.67,0,0,2.7,3668.07,1.38,0,13.55,0,0,1.8,0,145.87,6,0,5.39,0,0
