stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.13,63.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.76,0,0,0,0,11.22,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,71.57,0,0,0,38.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.19,6.41,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.24,0,0,0,62.59,0,0,10.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,378.57,5.68,0,0,0,0,0,0,0,0,0,0,5.6,0,0.92,0,0,37.71,0,10.52,113.03,1.89,0,5.95,10.66,0,3.11,0,4.24,0,4.01,22.39,0,0,0.91,0,0
 24-34,0,0,0,74.33,0,0,0.74,0,0,0,2.9,0,0,0,0,0,0,47.81,0,0,87.13,0,0.72,178.69,0.7,5.8,67.84,0,0,0,0,0,0,1.39,39.32,0,0,10.37,0,0
 36-46,0,0,0,14.98,1.12,0,10.12,0,0,0,9.6,0,0,0,0,0,0,16.98,0,0,126.34,0,2.09,181.51,0,5.33,19.55,0,0,3.84,0,0,1.12,0,20.84,0,0,31.7,0,0
 48-58,0,0,0,21.11,0,0,6.51,0,0,8.43,4.33,0,0.52,0,0,0,0,21.68,0,3.22,175.35,0.6,2.95,115.35,0.45,8.38,28.58,0,0,0,0,0,0,0,10.4,0,0,43.06,0,0
 60-70,0,0,0,4.38,0,0,9.48,0,0,1.22,9.37,0,0,0,0,0,2.81,53.9,0,0,289.25,0,0.7,104.33,0,13.22,16.13,0,0,0,0,0,0,0,8.75,0,0,40.84,2.76,0
 72-82,0,0,0,8.67,0,0,35.6,0,8.99,2.69,10.47,0,0,0,0.49,0,0,40.51,0,2.19,518.5,0.51,8.05,137.81,0,9.46,12.29,0,0,0,0,0,0,0,4.78,6.69,0,44.19,0,0
 84-94,0,0,0,12.62,0,0,32.84,0.79,0.77,5.92,8.73,0,0,0,0,0,0,72.35,0,0,401.64,0,3.8,113.06,0,77.82,11.26,0,0,0,0,0,0,0,11.5,10.65,0.77,21.1,3.34,7.62
 96-106,0,0,0,11.05,0,4.83,28.12,0,0,2.86,15.58,1.96,0,0.87,1.57,0.73,0.67,53.97,9.89,0,433.02,0,1.67,126.25,0,69.19,12.4,0,1.51,0,3.82,0,0,0,11.75,17.94,0,35.97,6.34,0
108-118,0,0,0,4.62,0,0,12.92,0,0,10.36,18.51,2.05,0,2.89,2.12,0,1.58,62.43,0.99,0,633.17,0,8.68,104.5,0,70.29,4.14,0,0,2.69,0,1,0,0,6.69,30.16,0,19.47,3.14,0
120,0,0,0,34.54,0,5.29,62.13,0,0,6.99,15.96,1.62,0,0,0,0,0,37.76,0,0,518.45,15.02,20.18,271.19,0,30.78,0,0,0,1.08,0,0,0,0,0,17.5,0,19.49,0,0
