stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,3.95,0,0,0,0,0,0,0,41.34,0,0,0,53.75,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,93.54,0,0,0,23.15,0,0,0,0,0,0,0,0
 14-21,0,14.07,2.16,28.66,0,0,0,0,0,1.9,0,228.69,0,0,0,1.98,0,0,1.72,13.18,0,0,0,0
 24-34,0,10.98,0,87.59,1.5,0,0,0,0.89,3.52,3.46,398.06,0,0,0,0,0.81,0,0.76,82.01,0,0,0,0
 36-46,0,5.78,0,79.01,25.5,0,0,0,0,5.92,1.27,317.99,0,0,0.85,0,0,2.11,0,63.41,0,0,0,0
 48-58,0,2.16,0,97.36,23.4,0,0.39,0,0,1.02,0,71.85,0,0.72,3.57,0,0,0,0,60.28,0,0,0,0
 60-70,0,0.79,0,72,5.85,0,0,0,0,2.63,0,20.06,0,0,0,0,1.94,0,0,14.91,0,0,1,0
 72-82,0.61,3.94,0,167.79,31.96,0,0.53,4.43,0,9.6,0,25.39,0,0,0,0,1.9,0,0,1.11,0,1.7,0,0
 84-94,0,3.12,0.95,57.67,10.91,0,0,0,0,7.76,0,13.04,0,0.7,0,0,0,0,0,1.7,0,0.71,0,1.66
 96-106,0,2.22,0,48.81,21.67,1.88,0,0,0,7.37,0,19.93,0,0,0,0,0,0,0,0,0.85,0,0.7,0
108-118,0,3.62,0,33.97,38.66,0,0,0,0,2.57,0,29.2,0,0,0,0,3.78,0,0,0,0,0,0,0.68
120,0,0,0,21.93,20.32,0,0,0,0,2.36,0,15.56,1.17,0,0,0,0,0,0,0,0,0,0,0
