stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,62.84,491.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.78,508.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.87,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,15.83,0,0,7.52,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,308.87,16.48,0,0,89.65,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.26,0,4.69,10.22,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,137.73,29.71,0,0,88.08,0,0,0,0,6.88,0,0,0,0,0,0
 14-21,0,0,1.07,0,3.89,1.65,1.74,0,0,2.25,0,0,0,0,0.86,0,0,0,2,0,0,26.46,3.88,0,1.95,0.83,0,0,0,3.6,0.82,1.86,4.14,0,0,0,0
 24-34,0,0,0,0,2.01,0.81,1.33,0,0.62,1.31,0,0,0,0,0.74,0,0,0,8.61,0,3.03,45.89,1.54,1.19,0,0,0,2.66,0,0,0,0.98,9.36,0,0.6,0,0
 36-46,0,0,0,0,0,0,1.47,0,0,1.42,0.59,0,0.75,0,0,0,1.33,0,5.35,0,0,41.98,1.82,0,0,0,0,8.78,0.81,0,0,0,15.42,0,1.85,0,1.94
 48-58,0,0,0,0,0,0,21.17,0,0,4.81,0,0.37,0.6,0,0,0,0,0,5.54,0.5,0,11.21,1.41,0,0,0,0,0,0,0,0,0,1.12,0,0.85,0,0
 60-70,0,0,0,0,0.57,0,11.6,0,0.64,9.79,0,0,0,0,0,0,0,0,4.5,0,0.85,23.21,0.7,0.6,0,0,0,6.42,0,0,0,0,5.13,0.67,3.69,0,0
 72-82,0,0,0,0,0.83,0,23.4,0,0,2.42,0,0,0.5,0,0,0,0,0,19.87,2.26,0,10.05,0,0,0,0,0,4.87,0,0,0,0,9.15,0,0.83,0,0
 84-94,0,0,3.66,0,1.4,0,18.17,1.85,2.16,3.94,0,0.71,0,0,0.6,0,0,1.81,11.43,0.92,2.25,6.57,2.47,0,3.1,0,0,11.07,0,0,0,0,0,0,2.51,0,0
 96-106,0,0,0,0,10.12,1.37,9.12,0,0,4.83,0.86,0,0,0,0,0,0,0,10.66,0,0,11.34,0,2.34,0,0,0,10.77,0,0,0,0,2.18,0,3.32,0,0
108-118,0,0,0,0,6.5,0.91,4.93,0.78,0,8.59,0.8,0,0,3.85,0,0.63,0,0,6.75,0,0,17.73,2.1,0,0.48,0,3.32,1.31,0,0,0,0,0,0,5.09,0.72,0
120,0,0,0,0,3.24,0,17.34,0,0,25.98,1.04,0,0,0,0,0,0,0,1.33,0,2.96,10.14,1.28,0,14.76,0,1.79,2.37,0,0,0,0,0,0,1.89,10.35,0
