stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,heart,mesenchyme,mural.cell,muscle,neural,otic,periderm,somites,taste
  5-6,11.34,0,0,0,0,0,0,0,0,0,0,0,12.69,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.7,0,3.31,0,0
 14-21,0,0,0.89,0.83,0,0,0,0,0,0,0,0,0.88,2.48,0
 24-34,0,0,0,1.3,0,0,0.67,0,0,0,2.72,0.95,0,0,0
 36-46,0,0,0,1.9,0,3.04,0,1.14,0,0,3.26,0,1.02,0,0
 48-58,0,0.42,0,0.39,0,0,0,0.5,0,0,1.39,0,0.42,0,0
 60-70,0,0,0,0,0,0,0,8.31,0,0.73,1.76,0,3.9,0,0
 72-82,0,0,0,0,0,0,0,2.29,0,1.93,1.71,0,0.51,0,0
 84-94,0,0,0,0,0,1.01,0,0,0.9,0,1.2,0,1.97,0,0
 96-106,0,0,0,0,0,1.13,0,0.68,0,0,1.48,0,3.06,0,0
108-118,0,0,0,0,2.63,0,0,0,0,0,0,0,0.96,0,0.54
120,0,0,4.67,0,0,0,0,3.12,0,0,0,0,0,0,0
