stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,53.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.22,0,28.13,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,585.85,0,22.35,0,0,0,0,0,0
 14-21,0,756.87,0,0,9.26,0,0,0,0,0,0,0,0,0,3.36,0,0,0,650.85,0,1.07,0,0,6.42,14.24,0,0
 24-34,0,46.2,0,0,8.32,0,0,0,0,0.78,0,0,0,0,0,0.82,0,0.81,478.91,0,0,2.02,0,0,4.79,0,0
 36-46,0,0,0,0,1.89,0,1.62,0,0,0,0,0,6.07,5.6,0.77,0,0,0,113.97,0,0,1.76,0.62,0,3.89,0,2.68
 48-58,0,0,0,0,8.52,0,1.45,0,0,0.37,0,0,0,0,5.99,0,0,0,170.73,1.83,0,6.7,0,0,14.5,0,0
 60-70,0,0,0,0,7.79,0,1.13,0,0,0,0,2.2,0,0,0,0,0,0,57.87,0,0,1.06,0,0,0,0,0
 72-82,0,0.71,0,0,1.91,0,0.79,0,0,0.56,0,0,0,0,28.12,0,10.61,0,199.03,0,0,3.23,0,0,0,0,3.02
 84-94,0,0.83,0,0,3.34,0,0.59,0,0,0,0,0,0,0,42.51,0,14.12,0,166.44,0,0,2.18,0,0,0,3.1,0
 96-106,0,16.86,0,0,8.82,0,0.57,0,0,0,0,0,0,0,45.01,0,5.48,0.64,94.59,0,0,1.84,0,0,0,2.06,0
108-118,0,0,2.13,0.78,13.49,0.66,0.54,0,2.29,0,5.49,0,0,0,47.95,0,20.18,1.06,299.49,0,0,2.88,0,0,1.88,0,0
120,0,0,0,0,21.03,0,2.61,6.22,0,0,0,0,0,0,22.26,0,10.5,5.52,344.89,0,0,3.32,0,0,0,0,0
