stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,0,33.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,109.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0
  7-9,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.64,0,0,19.75,9.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.41,0,0,7.42,4.24,0,0,0,0,0,0,0
 14-21,0,0,0,2.06,0,0.86,0,0,0,0,0,0,0,9.52,0,0.99,0,0,0,27.07,0,0,0,61.57,0.95,0,0,0.93,0,0.89,0
 24-34,0,0,0.6,6.47,0,1.4,0,0,0,0,0,0,0,1.76,0,1.26,8.01,0,2.38,32.45,0,0,0,253.47,0,0,0,3.6,0,0.68,9.77
 36-46,0,0,0,6.31,0,1.76,0,0.65,0,0,0,0,0,3.65,0,0.66,0,0,0,14.65,0,0.59,0,323.94,0,0,0,3.72,0,1.78,0
 48-58,0,0,0,10.67,0,3.86,1.08,10.36,0.56,2.65,0,2.25,0,7.25,1.59,1.29,0.39,0,0.43,40.26,0,0,0,311.29,0,0,0.68,7.68,0,1.86,0
 60-70,0,0,0,26.17,0,10.7,0,1.59,0,2.39,0,0,0,11.18,0.67,1.36,3.47,0,0,26.17,0,0,0,360.68,0,0,0,3.45,0,4.57,0
 72-82,0,0,0,26,0,15.92,0,1.4,0,6.81,1.59,1.77,0.53,4.63,0,7.75,2.01,0,0,15.48,0.86,0,0,249.27,0,0,0,0.79,0,1.64,0
 84-94,0,0,0,32.85,4.26,7.65,0,8.38,0,0.93,0,0,0,6.07,0,7.03,4.29,0.81,0,9.89,0,0,0,457.05,0,0,0,0.65,5.01,1.16,0
 96-106,0,0,0,63.7,1.71,8.83,0,8.17,0,8.69,0.7,0,1.61,6.64,1.72,7.44,5.44,0,0,36.69,0,0,0,654.34,0,1.91,0,0,0,1.3,0
108-118,0,0,0,54.28,0,7.09,0,7.12,0,3.44,2.65,1.33,0,4.91,0,4.7,4.34,0,0,20.78,0,0,0,346.85,0,1.48,0,1.88,5.56,0.65,0
120,0,0,0,78.96,0,28.47,0,7.26,0,0,6.3,0,3.75,7.44,0,0,7.93,3.51,0,14.75,4.09,1.73,0,457.4,0,0,0,0,0,0,0
