stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,189.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.89,0,0,0,0,0,0,0,0,0,0
  5-6,14.26,243.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.67,35.35,0,18.73,0,0,0,53.62,0,0,0,0,20.01,0,0,0,0,0,0,0,0,0,449.27,16.31,0,0,165.4,0,0,9.87,0,0,0,0,0,0,0,0,0
 10-12,0,24.27,0,84.39,0,0,0,82.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617.78,122.63,0,0,247.78,0,0,0,0,21.52,0,3.11,0,0,0,0,0
 14-21,0,0,0,0,13.51,0.82,0,4.71,0,0,1.95,2.55,0,0,0,0,0,0,15.23,0,0,19.9,49.85,114.88,0,0,0,0,0,0,4.51,0,82.42,21.97,27.58,0,0,0,0
 24-34,0.88,0,0,0,1.65,0,0,0,0,0.69,0,0,0,2.42,0,0,0,0,23.14,0,0,14.22,24.09,2.2,0,4.9,0,0,1.25,0,0,0,0.63,0.66,2.57,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.6,0,2.42,2.26,0,0,0,0,0,3.76,0,15.7,0,0.63,2.66,76.83,1.22,0,14.9,0,0,0.87,0,0,0,0,0,0.75,0,0,0,0
 48-58,0,0,0,0,4.03,0,0,0,2.39,0,1.07,0.92,0,0,0,0,1.69,0,12.46,0,0,0,111.96,0,0,10.58,0,0,0.45,0,0,0,0,0,1.75,0,0,0,0
 60-70,0,0,0.86,0,6.26,0,0,9.53,0,0.81,18.38,3.77,0,0,0,0,0.57,0,15.53,0,0,1.41,71.17,0,0,3.48,0,0,1.55,0,0,0,0,0,1.05,0.81,0,0,0
 72-82,0,0,0,0,0.78,0,0.59,17.27,0,2.58,65.76,5.15,0,0,0,0,1.49,3.49,16.09,0,0,1.33,109.21,0,0.93,9.08,0,0,0,0,0,0,0,0,2.18,0.72,7.15,5.23,5.13
 84-94,0,0,0.94,0,2.47,0,0,8.18,0,0,65.82,10.31,0,0,0,0.58,2.59,0,15.12,0,2.21,0,112.2,0,0,34.44,0,0,8.33,0,0,0,0,0,0.63,6.27,3.07,0,3.83
 96-106,0,0,0.95,0,3.29,0,0.72,21.58,0,0,95.56,14.83,0,0,0,1.87,9.29,11.09,30.97,1.66,0,0,99.35,0,0,40.13,0,3.31,6.23,0,0,0,0,0,0,21.94,2.5,0,3.89
108-118,0,0,1.22,0,1.86,0,4.57,13.42,0.56,0,96.4,20.2,0,0,0.63,0,3.91,0,17.2,0,0,1.87,73,0,0,44.68,0,1.82,9.82,0,0,0,0,0,0,49.47,0.85,0.48,2.58
120,0,0,0,0,2.86,1.14,8.81,41.23,0,4.91,112.81,31.57,0,0,0,0,9.76,0,2.76,0,0,0,33.89,0,0,85.59,0,0,1.28,0,0,0,0,0,0,21.38,0,0,2.31
