stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.77,77.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,138.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.29,0,5.44,0,4.7,0,0,0,32.09,0,0,0,0,0,0,0,0
 10-12,0,14.63,0,0,0,0,0,0,58.28,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.93,0.93,0,0,0,9.86,0,0,0,0,3.03,0.98,0,0
 24-34,0,0,0,0,0,0,0.71,0.65,6.93,0,0,0,0.71,1.36,0,0,0
 36-46,0,0,0,0,0,0,0.68,0.85,2.91,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,7.42,0,0,0,4.04,0.39,0,0,0,2.21,0,0,0
 60-70,0,0,0,0,3,0.94,0,0,1.04,0,0,0,0,2.09,0,0,4.97
 72-82,0,0,0,0,0.94,0,0,0,0,0,0,0.81,0,0.95,0,0,0
 84-94,0,0,0,0,2.05,0,0.95,0,0,0,0,0,0,2.13,0,0.74,0
 96-106,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.6,0,3.83,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,2.49,0,0,0,0,0,0
