stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,2.11,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,27.06,0,0,1.07,0,0,1.01,0,0,0,0,0,0
 24-34,0,0.76,0,3.11,0,0,0,0,0,0,0,0,0.91,0,0,1.52,1.47,32.81,0,1.56,0,1.22,0,0,0,0.71,7.75,0,0,0
 36-46,0,0,0,4.99,5.92,0,0,0,0,0,0,0,0,0,0,0,0,23.67,0,0,0,3.17,0,0,0,0,12.14,0,0,0
 48-58,0.44,0.48,0,8.91,0,0,2.26,0,0,0,0,0,3.34,0,3.46,0,0,40.84,0,0.44,17.34,0.54,0,0,0,0,3.62,0,0,0
 60-70,0,2.51,0,33.84,0,0,1.62,0,0,0,0,0,7.95,0,4.49,0,0.63,32.38,0,0,25.74,0,0,0,0,0,5.43,0,0,0
 72-82,0,0,10.8,48.99,0.51,0,2.97,0,0,0,0,0,21.53,0,3.18,0,1.21,51.93,0,1.86,38.5,1.25,0,0,0,0,3.85,0,1.72,0.81
 84-94,0,0.7,0,46.38,2.16,1.27,1.78,0,0,0,4.01,0,15.06,0,7.29,0,0,24.33,0,1.95,45.29,1.49,0,0,0,0,6.05,0.74,0,0
 96-106,0,1.55,1,48.28,0,0.84,0,3.6,0,2.39,0,0,67.62,0,7.45,0,0,86.29,0,0,69.32,11.52,3.82,0,0.62,0,1.35,0,0,0
108-118,3.86,7.55,0,24.81,0,0,2.32,0,0.61,1.66,1.83,1.01,40.58,0,12.07,0,0,53.01,4.46,0,63.82,11.97,0,0,0,0,3.67,0,0,0.54
120,0,1.16,0,23.21,0,0,3.94,0,0,0,0,0,46.69,6.5,23.95,0,2.71,42.89,0,2.4,92.15,2.6,0,0,0,0,0,5.48,1.65,0
