stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,1.06,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.43,0,0.78
 36-46,0,0,1.24,0,0,0,1.37,0,0,25.19,0,6.6
 48-58,0,0,7.24,0.88,0.96,0,0,0.47,0,65.65,0,1.24
 60-70,0,0,38.18,0,15.02,0,0,2.21,0,208.61,0,16.45
 72-82,0.65,0,73.38,0,1.89,0,0,5.04,0,190.97,0.93,18.84
 84-94,0,0,81.78,0.59,4.71,0,0,1.07,0,134.86,0,14.51
 96-106,4.32,0,109,0,7.31,2.13,0,10.75,0,173.56,0,8.33
108-118,0,0.66,51.69,0,7.79,1.65,0,1.11,0.81,158.09,0,8.95
120,0,0,142.42,0,19.02,3.62,0,6.37,0,336.84,0,22.86
