stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  5-6,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,33.72,0,0,5.56,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,6.08,0,0,0,0,0,0
 14-21,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0.84,0,0,0.8,2.65,2.67,0
 24-34,0,1.73,0,0,2.42,0.82,0,0,0,1.1,0,0,4.16,0,0,0,4.82,0,0,0,3.65,0,0,0.65,0,0
 36-46,0,4.62,0,0,0,0,0,0,0,5.34,0,0,1.51,0,0,0.56,10.47,0,0,0,1.21,0,0,0,8.64,0
 48-58,0,0,0,0,0,0,0.74,0,0,5.9,0,0,0.43,0,0,0,10.69,0.88,0,0,0,0,0,0,2.87,0
 60-70,0,9.24,1.5,0,4.53,9.41,2.13,0,0,52.49,0,0,3.59,0,0,2.76,12.62,0,4.18,0,2.03,0.59,0,0,3.52,0
 72-82,0,0,0,0,25.61,0.99,2.63,0.51,0,87.96,0,0,7.48,0.95,0,0,26.82,0,5.46,0,0,0,0,0,0,2.12
 84-94,0,1.44,5.48,0,12.98,0,2.52,0,0.71,152.79,3.11,4.3,7.37,0,0,0,5.58,0,3.36,0,2.91,0,0,0,0,6.66
 96-106,0,1.37,1.36,0.97,3.02,0.89,3.41,2.68,0,204.94,0,0,5.04,0,1.84,0,17.98,0.73,0,0,1.87,0,0,0,0,6.79
108-118,0,10.64,0,0,28.78,0,0,0,0,270.48,0,0,8.02,0,0,0,12.99,0,4.79,0,2.02,0,0,0,0,0.75
120,0,5.41,0,0,19.53,1.12,0,0,1.49,220.22,0,0,2.12,0,0,0,73.01,0,0,0,0,0,0,0,5.94,2.75
