stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,melanocytes,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,pronephros,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0
  7-9,8.25,0,0,0,0,0,0,0,0,0,0,10.29,8.88,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,34.7,0,0,17.73,0,0,0
 14-21,0,37.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,11.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0
 36-46,0,19.3,0,0,0,0,0,0,0,0,0,4.53,0,0,0,0,0,0
 48-58,0,11.93,0,0,0,0,0,0,0,0,0,9.84,0,0,0,0,0,0
 60-70,0,25.36,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,9.58,0,2.2,0,0,0,0,6.34,1.33,0,6.36,0,2.3,0,0.62,0,5.65
 84-94,0,30.55,0,0,1.78,0,0,0.68,0,1.1,0.62,5.52,0,0,0,0,0,0
 96-106,0,38.14,4.36,8.13,0.61,0.62,0,0,0,0,0,6.29,0,0,0,0,0,0
108-118,0,32.67,0,0,0.43,0.6,0.43,0,0,0.98,0,0.68,0,0,0,0,0,0
120,0,21.29,0,0,1.73,0,0,0,0,1.5,0,11.34,0,0,0,0,0,0
