stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,0,43.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.79,28.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0,0,27.7,0.96,0,0
 24-34,0,0,0,0,0,69.26,0,0,0,0,0,0,0,0,0.77,7.1,0,0,0,0,0,0,0,14.53,0.7,0,0
 36-46,0,0,0.98,0,0,115.78,0,0,14.84,0,0,0,0,0,0,20.76,0,0,0.58,0.6,0,0,0.72,0,0,0,0
 48-58,0,0,0.4,1.88,0,110.84,0,0,27.75,0,0,0,0.43,0,0,41.58,5.81,0,0,0,0,0,0,0,9.15,0,0
 60-70,0,0,0,0,0,1361.29,0,0,18.67,0,0,0,0,0,0.63,32.39,0,0,0,0.61,0,0,0,0,23.28,0,0
 72-82,0,0,0,5.46,0,2150,0,0,16.26,0,0,0,11.6,1.43,2.19,73.72,0,0,0,0,0,0,0,0,3.29,0.67,0
 84-94,0,0,0,6.47,0.87,2427.96,1.69,0,9.22,0,0,3.57,6.88,2.32,0,66.03,1.25,2.46,0,1.28,0,1.52,0,0,8.33,1.63,1.27
 96-106,0,0,0,1.62,14.82,1402.61,0,0,4.08,0.72,1.02,0,0.77,0,0,65.38,0,0,0,0,0,0,0,0,0,0,0
108-118,3.02,0,0,3.56,0,1395.16,0,1.06,4.27,0,0,1.03,5.78,0,0,64.56,0,0,0,2.72,0,0,0,0,0,0,0
120,0,0,0,8.92,4.09,2888.75,0,0,18.81,0,0,2.13,4.16,0,1.66,195.68,0,0,0,1.5,0,1.02,0,0,0,0,0
