stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.62,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,36.77,48.62,0,0,13.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.44,27.56,0,0,40.13,0,0,0,29.92,0,0,0,0,0,0,0
 14-21,2.7,10.03,4.32,281.54,1000.56,835.64,0,335.43,0,0,2.74,58.01,4.7,33.46,0,0,0,0,0,0,419.66,0,268.7,871.32,42.66,0,15.39,1.44,0,0,63.08,11.99,78,133.04,835.32,0,638.63,0,4.1
 24-34,0,0,0,47.84,55.66,25.58,0,22,0,0,0.72,11.81,0,11.51,0,2.85,0,3.14,4.88,7.28,77.46,0,10.8,264.69,0,0,0,0,0,2.29,0,0,0.96,1.77,293.2,0,2209.16,0,0
 36-46,0,0,0,8.36,11.83,18.5,0,5.71,0,0,5.13,10.32,0,21.27,0,0,2.36,0,0.77,0,26.93,0,5.78,235.74,2.56,0,0.58,0,0,8.14,0,1.49,0,0,466.82,0,1575,0,0
 48-58,0,0,0,1.53,5.27,7.46,0,10.27,0,0,1.99,5.95,0,8.9,0,0,5.25,0,0,1.1,4.51,0,0.81,179.81,0.49,0,2.12,0,0,0.64,0,1.37,0,0,336.25,0,938.76,0,0
 60-70,0,0,0,0,0,15.48,0,32.42,0,0,10.53,0,0,0.76,0,0,0,0,0,10.18,2.78,0,0,171.42,0,0,0,0,2.38,2.35,0,0,0,0,210.13,0,493.19,0,0
 72-82,0,0,0,0,0.71,0,0,35.66,0,1.79,19.4,5.76,0,0,0,0,0,0,2.37,0,15.4,0,6.07,297.28,0,0,0,0,0.71,0,0,0,0,0,312.73,0,1106.82,0,0
 84-94,0,0,0,0,7.05,0,0,32.08,0,0,20.88,4.17,0,3,0,0,0,0,0,0,6.2,1.23,0,145.43,0,0,0,0,0,0,0,0,0,0,77.1,4.99,704.33,0,0
 96-106,0,0,0,0,2.38,0,0.66,71.9,0.71,0,24.61,2.53,0,1.04,0,0,0,0,0,0,7.46,0,0,183.75,0,0,0,0,1.05,3.91,0,10.65,0,0,163.02,0,1423.53,5.2,0
108-118,0.56,0,0.64,0.74,4.67,4.65,0,44.14,0,2.24,39.26,5.79,0,0,11.11,0,0,0,0.59,0,1.5,0,0,264.27,0,1.25,0,0,2.05,2.45,0,1.17,0,0,164.16,0,792.61,1.4,2.22
120,0,0,0,0,1.69,0,0,49.28,0,0,34.95,22.29,0,0,0,0,0,0,0,0,3.75,0,0,332.51,0,0,0,0,0,4.14,0,0,0,0,187.68,0,823.06,0,0
