stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,12.9,1.84,7.22,0,0,0,23.62,0,2.38,0,0,0,0,0,7.37,0,3.28,71.79,2.52,2.24,1.02,0.82,0,0,6.58,7.11,0,7.6,73.34,0,0,0,0
 24-34,0,0.61,3.79,0,17.4,0,0,0.7,20.84,1.28,0,0,0,0,0,0,14.78,0,7.69,188.68,0,6.43,5.05,0,0,4.41,0,5.36,0,3.53,50.14,0,5.26,0,0
 36-46,0,0,3.31,0,14.09,0,0,0,9.12,0.68,0,0,0,0,0,0,30.35,0,0,150.74,0,4.69,0,0,0,8.19,0,8.82,0,0,29.05,0,0,0,0
 48-58,0,0,0,0,32.93,0,0,0,16.06,0,0,0,0,0.38,0.48,0,19.19,2.99,4.9,154.35,3.68,6.72,6.1,0,0,1.25,0,7.03,0,0,35.81,0,0.89,0,0
 60-70,0,0,0,0,39.13,0,0,1.47,8.19,0,0,0,0,0,4.86,3.27,26.52,2.63,9.64,97.34,1.57,3.95,4.9,0,0,0,0,0,0,0,32.95,0,0,0,5.63
 72-82,0,0,6.21,0.63,40.81,0,0.53,0,12.88,0.76,0,4.06,0,0,5.34,0,33.93,1.38,2.25,71.22,0,11.2,8.3,0,0,0,0,0,1.06,0,9.76,0.49,3.34,0.57,0
 84-94,0,0,9.5,0,41.89,0,0,2.07,8.55,0,0,0,0.56,0.74,0,0,41.04,0,1.53,70.36,0,20.84,4.26,0,0,3.08,0,7.55,0,0,4.99,1.93,4.01,0.98,0
 96-106,0,0,0,0,33.27,2.71,0,0.75,1.86,3.27,0,1.74,0,0,1.4,0,23.42,2.26,0.76,47.45,0.71,4.32,2.42,0,0,0,0,2,0,0,2.49,0,0,0.72,0
108-118,2.49,0,4.48,0,37.86,0,0,3.98,13.59,0,0,3.72,0,2.14,1.12,0,28.28,0,2.72,83.09,0,2.89,12.46,0,2.98,1.87,0,0.64,0,0,4.74,0,3.12,0,0
120,1.37,0,5.91,0,26.18,0,0,0,38.54,0,0,0,0,0,0,0,39.94,0,9.86,24.34,0,16.15,12.3,0,0,0,0,0,0,0,0,0,0,8.85,0
