stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.16,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,6.36,0,0,0,0,0,0,0,0,0
 10-12,0,15.49,0,0,0,6.97,0,0,0,0,0,0,0,0,0,0,0,67.82,0,0,61.9,0,0,19.37,0,0,0,0,0,0
 14-21,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,13.56,0,0,0,0,2.01,0,2.82,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.7,0.83,0,0,0,0,0,6.68,0,1.8,16.44,2.16,0,0,6.09,0,2.17,0,4.03,0,0,0,0
 36-46,0,0,6.44,0,0,5.12,0,0.61,0.95,0,0,0.57,0,0,3.09,0,0.6,29.93,0,0,0,0,0,0,0,5.4,0,0,0,0
 48-58,0,0,0.5,0,0,5.07,0,1.52,2.91,0,0,0,0,0,4.03,0.46,0,20.96,0,0,0,1.01,0,0,0,4.14,0,1.97,0,0
 60-70,0,0,3.32,0,0,10.53,0,0,0.8,0.64,0,0,0,0,6.28,0,2.18,7.07,0,0.77,0,0,0,0,0,0.59,0,1.1,0,2.87
 72-82,0,0,1.29,7.71,0,3.26,0,0,2.79,0,0.49,0,0,0,5.18,1.42,0.73,15.57,0,0,0,1.03,0,0,0,0.67,0,5.09,0,0
 84-94,0,0,4.97,1.65,0,12.73,0,0,3.79,0,0,0,0,0.59,5.17,0.81,0.55,29.05,0,2.51,0,1.2,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,29.46,0,0,1.82,0.66,0,0.56,0,0,3.88,0,0,8.7,0,0.59,0,3.17,0,0,0,0,0.83,0,0.66,0
108-118,0,0,0.45,1.11,0.97,5.99,3.43,1.36,5.85,0,1.17,0,3.03,0.49,15.19,0,0,17,0,0,0,8.53,0,0,0,0.95,1.01,0,0,0
120,0,0,0,0,0,0,0,5.18,0,0,0,0,0,3.84,4.76,0,0,5.45,3.27,0,0,12.49,0,0,0,0,0,0,0,0
