stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,iridophores,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0.87,0.95,0,0,0,0,0,0
 24-34,0,0,0,0.83,0,0,0,6.82,1.36,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.68,0,0,2.35,0,0
 48-58,0,2.61,0,0,0.61,0,0,6.58,0,0,0,0,0
 60-70,0,0,0,10.77,0,0,0,0,0.84,0,0,0,2.82
 72-82,0,0,0,6.62,0,0,1.93,9.87,0,0,0,1.95,0
 84-94,0,0,0,0,0,0,0.73,3.58,3.11,5.24,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.78,1.9,0
108-118,0,0,5.2,2.87,0,0,0,9.72,0,0,0,0,0
120,6.06,0,0,0,0,0,0,17.43,0,3.1,0,0,0
