stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0.91,0,1.19,0,0,0,0,1.19,0,0,0,1.15,0,0,0.89,0,0,1,2.28,2.62,1.77,0
 24-34,1.49,0,0,1.89,0,0,0,0,0,0,0,0,1.77,0,0,17.97,0,1.66,0,0,5.11,0,0
 36-46,3.13,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,9.41,0,7.36,0,0,2.16,0,3.36
 48-58,1.51,0,0,2.98,1.17,0,0.67,0,0,0,0,0,0.54,0.95,0,27.59,0.67,0,0,0,2.51,4.13,0
 60-70,0.87,0,0,11.86,0,2.25,1.43,0,0,0,0,0,3.74,0,0,23.56,0,0,0,0,0,0,0
 72-82,6.99,0,0,7.97,0,0,8.91,0,0,0,0,0.64,0.88,0,0,15.43,0,0.67,0,0,2.91,0,2.27
 84-94,0.9,0,0,9.73,0,0,1.87,1.01,0,0,0.55,0.56,0.84,0,0,8.3,0,0.86,0,0,0,0,0
 96-106,0,6.9,0,2.75,0,0,0.88,0,0,0,0,1.5,1.61,0,0,10.37,0,0,0,0,0,0,1.24
108-118,1.42,0,0,4.25,0,0,3.36,0,0,0.81,0,0,1.21,0,1.05,5.78,0,0,0,0,0,0,0
120,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,8.34,0,0,0,0,0,0,4.83
