stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,4222.2,120223.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4679.27,0,0,0,0,0,0,0,0
  5-6,3183.88,25518.59,20.75,0,0,0,0,0,0,0,33.05,0,0,0,0,0,0,1533.57,0,47.72,0,654.95,0,0,0,0,0,0,0,0
  7-9,62.16,25.88,14.39,0,0,0,52.41,0,0,0,48.03,0,0,0,0,0,0,1013.07,27.64,240.39,0,3.28,229.82,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.31,0,0,0,0,0,14.41,0,0,0,0,0,0,91.69,3.56,27.81,0,0,61.28,0,0,0,0,0,0,0
 14-21,0,0,3.7,5.91,0,0,0,0,0,1.09,0,0,0,0,0,0,0,33.14,0,0,0,1.54,0,1.7,0,3.16,2.42,0,0,0
 24-34,0,0,0,0,0,0,0.77,0,0.61,0,0,0,0,0,0,0,0.67,5.92,0,0,0,2.05,0,0,0,0,3.97,0,0,0
 36-46,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,2.72,0,0,0,0,0,0,0,0,5.13,0,0,0
 48-58,0,0,0,4.45,0,0,0,0,0.56,0,0,0,0,0,0,0,0,7.12,0,0,0,2.2,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,17.64,0,7.42,0,1.22,0,0,0,0,0,0,0,0,45.07,1.45,0,0,0,0,0,0,0,4.58,0,0,0
 72-82,0,0,0,1.9,433.81,0,13.21,0,1.05,0,0,0,0,0.56,0,12,2.34,26.01,0,0,0,1.29,0,0,0,0,2.45,0,3.35,0
 84-94,0,0,0,3.69,400.59,0,9.03,2.12,0,0,0.71,0,0.58,0,0,12.52,0,1.09,0,0,0,0,0,0,1.29,0,2.77,1.38,0.57,1.66
 96-106,0,0,0,4.19,1229.05,0,11.42,0,0.97,0,0,5.19,0.58,0,0,6.26,0,30.38,0,0,0,3.53,0,0,0,0,0,0,4.46,0
108-118,0,0,0,0,1232.45,0.6,11.11,0,2.24,0,0,0,4.91,0,10,10.18,0.6,64.15,0,0,3.32,6.4,0,0,0,0,9.04,0,0.97,0
120,0,0,0,6.57,491.21,0,37.24,0,17.53,0,0,0,1.45,0,0,17.27,3.76,83.47,0,0,0,1.11,0,0,0,0,0,0,9.23,0
