stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,16.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,49.01,0,0,6.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.61,0,0,0,0,0,0,58.95,4.6,0,22.48,0,0,0,0,0,0,0,0
 14-21,0,0.83,0,4.06,0,0,0,1.16,0,0.87,25.4,1.97,0.81,1.53,0,2.78,0,1.01,9.09,0,0,0
 24-34,0,2.28,0,0,0,0,0,4.09,0,0,23.9,0,0,0,0,0,0,0,9.8,0,0,0
 36-46,0,0,0,0.67,0,0,0,0.78,0,0.59,22.51,0,0,0,0,0,3.54,0,5.47,0,0,0
 48-58,0,0,0,6.8,0,1.06,0,0.53,0,1.2,17.57,0,0,0,0,0,0,0,3.34,0,0,0
 60-70,0,0,0,76.96,0,6.14,0,9.17,0,0,19.26,0,0,0,0,0,0,0,4.69,0,0,0
 72-82,0,0,0,292.54,1.01,1.72,0.49,7.06,5.35,0.54,56.11,0,0,0,0,0,0,0,7.69,0,0,0
 84-94,0,1.25,0.68,381.46,4.99,0.82,0,4.8,0,0,16.93,0.98,0,0,1.09,0,0,0,0.8,0,0,0.6
 96-106,0,1.97,0,296.09,0,0,1.19,1.75,0,0,38.63,0,0,0,0,0,0,0,0,0,2.55,0
108-118,0,2.09,1.44,312.59,0,2.76,0,2.83,0,0,24.32,0,0,0,0,0,0,0,0,3.84,0.59,2.42
120,0,0,0,400.74,0,13.28,0,11.59,0,0,25.37,0,0,0,0,0,0,0,0,0,0,0
