stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,7.48,0,0,0,0,0,2.44,0,1.56,1.2,0,0,0,0,0,0
 24-34,0,0,748.12,0,0,4.05,0,12.51,0.89,0,0,0,0,0,0,0,0,0,0,0.98,5.16,0,2.57,86.79,0,1.73,1.28,0,5.83,0,0,0,0,0,8.7,0,0,3.17,0,0
 36-46,0,0,4792.36,0.57,0,28.81,0,189.07,0,14.13,0,0,1.71,0,8.67,0,1.84,10.16,0,4.33,67.76,3.52,4.58,164.66,0,6.39,0.85,0,15.48,0,0,0,11.77,0,17.72,0,0,0.76,0,0
 48-58,0,0,14699,3.44,0,206.34,3.25,445.96,4.73,64.2,0,1.15,1.47,4.69,1.19,0.39,5.7,5.73,3.09,81.15,80.23,2.1,15.94,725.42,1.14,8.24,9.17,0,36.73,0,0,0.47,1.93,0,107.2,0,0,5.66,0,41.83
 60-70,0,0,42895.34,6.95,0,662.56,5.89,1364.04,11.37,133.62,5.66,0,0.75,9.12,4.63,9.84,4.56,4.87,20.3,152.41,786.14,71.97,27.33,1139.69,1.69,3.13,23.73,0,93.62,0,0,0,1.34,0,128.67,0.61,2.83,24.93,46.88,32.37
 72-82,0,1.18,54732.46,108.13,1.92,1012.53,9.32,1709.25,42.78,178.65,12.68,0,4.97,13.05,15.97,4.57,23.7,18.85,26.76,405,765.26,124.6,35.65,1844.7,9.56,25.94,22.39,5.04,134.36,3.31,0,2.57,3.53,0,175.9,44.35,25.36,49.33,21.44,100.89
 84-94,0,1.46,144580.39,83.77,0.55,917.64,2.48,5179.14,20.12,163.58,22.3,0.91,15.08,13.56,35.21,6.19,23.73,22.27,32.8,423.1,1781.26,95.08,44.2,1517.14,1.24,13.56,18.88,6.56,357.05,0,0,16.7,3.86,0,157.1,18.48,16.3,37.39,234.96,34.74
 96-106,0,16,179370.28,631.79,62.16,2326.42,87.36,5757.17,63.4,533.77,68.57,0,21.09,97.47,52.97,48.64,37.62,216.65,11.94,1100.62,2559.43,98.83,146.08,4129.14,9.99,102.98,49.9,29.17,974.42,6.78,0,25.12,34.86,0,158.98,62.24,24.73,225.17,58.55,146.74
108-118,0,3.04,207418.4,211.08,75.88,1587.5,39.03,8358.61,64.68,443.5,48.14,2.74,15.05,53.94,58.88,63.84,42.87,82.11,21.81,989.92,1483.59,94.15,114.55,3296.75,16.91,39.7,43.1,36.86,723.91,0,0,3.84,4.96,0,133.07,36.69,31.18,110.71,121.7,77.12
120,1.19,5.48,132009.19,194.76,80.34,1156.03,46.74,4721.47,51.14,436.95,65.25,0,33.14,93.7,66.41,31.96,10.78,125.71,5.53,844.27,1325.87,145.65,100.27,3450.91,38.46,27.89,116.47,53.81,398.7,0,0,22.55,1.32,0,99.71,10.35,70.93,138.34,101.17,42.3
