stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  3-4,0,60.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.35,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,11.92,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,81.88,0,0,0,0,0,0,0,31.17,0,0,0,7.24,0,0,0,0
 14-21,0,0,0.95,0,0,0,0,0,0,268.46,0,0,0,0,0,0,1.09,12.97,0,0,0,0,2.09,1.37,3.84,0
 24-34,0,0,2.14,0.94,0,0,0,0.65,1.34,101.6,0,0,6.53,0,0,0.68,0.81,34.51,0,0,0,0,4.93,0,2.15,0
 36-46,0,0,0,0,0,8.33,0,0,0,83.1,0,0,8.56,0,0,0,0,23.39,0,0,0,0,0,0,0,0
 48-58,0,0,2.28,0,0,11.35,0,0.52,0,319.09,0,1.85,33.18,0.39,1.89,0,0.4,18.38,0,0,5.47,0,0.51,0,4.8,0
 60-70,0,0,1.04,1.42,0,5.36,0,2.01,0,181.51,0,0,41.75,0,1.37,0,0,4.56,0,0,0,0,0,0,2.46,0
 72-82,0,0,0.78,0,0,3.82,0,0,0,68.61,0,0,72.18,0,5.67,0,0,13.78,9.68,0,12.24,0,5.2,0,2.52,3.22
 84-94,0,0,0.62,0,0,4.24,0,2.04,0,142.3,0.78,0,97.39,0,11.84,0,0,8.77,0,1.66,7.56,0,0,0,0,0
 96-106,0,0,0.6,0,2.9,7.84,0,5.37,0.85,29.9,0,0,139.62,0,3.81,0,0,16.3,0,0,1.15,0,0,0,0,0
108-118,0,0,0.55,0,0,5.13,0.8,0,1.03,2.74,0,0.78,149.39,0,8.3,0,0,4.41,0,0,4.34,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,95.31,0,0,0,0,3.27,0,0,1.61,0,3.04,0,0,0
