stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,visceral.smooth.muscle
  3-4,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0
  7-9,0,0,0,3.38,0,0,0,0,0,0,0,0,0,38.89,0,0,0,5.9,0,5.78,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,1.01,1.18,0,0,0
 24-34,0,0,0,1.11,0,1.54,0,0,0.72,0,2.33,0,0,24.5,0.67,215.68,0,0,0,0,0,3.78,0,0
 36-46,0,0,0,2.98,0,0,0,0,0,0,0,0,0,24.9,0,315.51,0,0,0,9.13,0,4.86,0,0
 48-58,0,0,0,4.42,0,0,0.46,0,0,0,1.11,0,0,26.6,0,257.92,0.7,0,0,0,0,3.17,0,0
 60-70,0,0,0,4,0,0,0,0,0,0,4.46,0,0,13.59,0,265.51,0,0,0,0,0,0.85,0,0
 72-82,0,1.52,0,17.83,0,0,0,0,0,0.78,1.98,0,1.51,18.86,0,395.56,0,0,0,0,0,4.06,0,1.87
 84-94,0,0.9,0,0,0.6,0,0,0,0,3.19,1.77,0,0,17.05,0,292.31,0,0,0,2.54,0,0,1.17,0
 96-106,0,1.31,0,10.85,0,0,9.68,1.31,0.76,0,0,1.76,0,24.8,1.35,638.56,0,0,0,0,0,0,0,0
108-118,0,2.91,1.52,12.16,0,0,0,0,0,0,1.98,0,0,17.47,0,368.05,0,0,1.05,0,0,2.65,2.27,0
120,0,0,0,4.39,0,0,0,0,2.21,0,9.03,0,0,2.98,0,434.33,0,0,0,0,0,0,0,0
