stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,21.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,17.59,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97,0,0,0,0,0,0,0,0,0,0
 14-21,1.36,0,0,1.93,0,0,0,2.74,0,0,0,0,0,12.29,0,0,0,1.43,0,0,0,3.47,0,0,2.28,0,0.87,3.81,0.81,0,0
 24-34,0,1.84,0,1.37,0,8.49,0,19.39,0,0,0,0.92,0,14.44,0,0,0,0,1.82,0.9,25,7.88,0,0,0.71,0,1.35,0,3.48,0,0.89
 36-46,0,5.21,0,2.48,0,12.37,8.12,16.47,0,0,0,0,0,23.86,0.65,0,0,3.78,0.58,3.17,30.54,14.58,0,0,0,0,3.87,0,2.96,0,0
 48-58,0,0,0,0,0,18.81,17.06,12.02,0,0,0,0,1.28,14.78,0,0,0,3.3,0,10.85,56.67,11.6,1.8,0,32.69,0,0,0,3.65,0,0.74
 60-70,0,0,0,4.96,0,11.51,5.46,21.52,0,0.75,0,0,0,20.97,0,0,2.27,0,0.85,1.28,64.73,3.58,5.96,0,33.82,0,1.61,0,1.19,5.03,0
 72-82,0,2.45,0,13.72,1.73,28.57,9.04,12.81,0,1.33,0,0.55,0,21.91,1.2,0,0,3.18,0,0,92.36,9.04,0.54,0,60.7,3.67,4.21,0,12.62,9.17,0
 84-94,0,1.2,1.04,12.57,0,40.47,5.21,30.91,0,6.67,0.95,0,0,33.96,3.28,0,0,0.94,0.6,5.87,84.58,9.16,0,0,142.13,9.29,1.09,0,3.18,27.06,0
 96-106,0,0.63,0,21.96,0,28.04,9.37,2.68,1.12,4.23,0,0,0,52.37,12.46,12.66,0,5.69,4.3,4.59,35.43,4.68,9.73,0,101.04,6.71,2.86,0,2.13,24.1,3.01
108-118,0,2.28,0,23.28,0.75,25.84,8.99,16.96,0,12.73,0,0,0,59.35,16.63,0,1.26,11.29,3.82,0.5,86.35,8.91,2.42,0,89.86,9.85,2.77,0,0,45.91,0
120,0,0,0,14.18,0,8,8.86,15.28,0,0,9.47,0,0,24.77,17.51,0,0,5.76,1.35,2.15,122.19,0,0,0,22.65,12.68,0,0,0,10.23,0
