stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,23.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.73,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0
  7-9,0,5.5,0,3.52,0,0,0,60.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,47.11,0,0,4.3,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,2.87,0,0,0,0,3.5,0,2.79,0,0
 24-34,0,0,0.75,0.63,0,0,0,3.65,2.9,0,0,0,0,0,0,0,0
 36-46,0,0,0,21.15,0,0,0.95,9.45,0,0,0,4.21,0,0,0.85,0,0
 48-58,0,0,0,0.71,0,0,0,7.1,0,0,0,0,0,0,3.73,0,0
 60-70,0,0,0,0.84,1.04,0,0,11.7,0,0,0,1.04,0,9.88,0,0,7.7
 72-82,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.71,0.8,0,0,5.62,0,0,0,0,0,0,0,2.26,0
 96-106,0,0,0,0,0,1.11,2.01,8.71,0,0,0,6.19,0,0,0,0,0
108-118,0,0,0,4.25,1.04,0,0,2.88,0,0,0,0.49,0,0,0,0,0
120,0,0,0,0,0,0,6.5,5.25,0,1.61,0,0,0,0,0,0,0
