stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,0,85.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,24.39,0,0,0,0,0,0,0,0,0,0,0,0,0,151.23,0,0,0,20.55,0,0,0,0,0,0,0
 10-12,0,42.45,0,15.75,0,0,0,44.12,0,0,0,0,0,0,0,0,0,0,0,0,0,803.76,0,0,0,133.64,0,0,9.03,0,0,0,0
 14-21,0,0,0,0.88,12.31,0.86,0,33.3,0,0,0,10.76,1.08,0.81,0,0,0,0,0.85,0,10.31,544.8,0.99,4.29,3.84,2.39,1.43,0.97,6.11,7.68,190.39,0,0
 24-34,0,0,0,1.4,1.89,0,0,74.05,8.76,0,0,15,2.97,0,0,0,1.53,0,12.6,0,10.32,1143.15,10.3,10,10.35,0,5.8,0,2.5,4.6,399.52,0,0
 36-46,0,0,1.72,0,1.95,0,0,97.47,12.93,0,0,36.01,0,1.05,0,0.74,1.09,0.67,3.27,0,7.56,974.03,0,5.37,4.45,0,1.15,0,7.38,3.11,355.57,0,0
 48-58,0,0,0,0,4.46,1.69,0,195.85,5.61,1.04,0,75.81,0.41,0,0.53,0,2.85,0.39,9.74,0,5.1,560.86,0,2.24,6.21,0,1.28,0,0.74,0,247.7,0.4,2.78
 60-70,0,0,0,0,0,0,0,303.76,0.64,0,0,33.48,0,0,0,0,0,0,1.69,0,7.91,377.45,0,0,3.11,0,0,0,0,0,89.75,0,0
 72-82,0,0,1.65,0,0.61,0,0,307.36,2.65,0,0,48.11,5.53,0,0,0,4.43,0,19.61,0,2.79,383.19,0,0,13.63,0,2.3,0,0,0,38.49,0,7.36
 84-94,0,0,4.18,1.01,5.54,0.93,0.78,173.21,8.94,0,0,36.28,1.64,1.02,0.71,0,4.25,0,3.95,0.57,5.28,285.18,0,1.46,18.53,0,4.3,0,3.21,0,29.6,0,0
 96-106,0,0,1.37,0,5.01,1.14,0,318.07,0,0,0,50.71,1.47,0,0,0,10.25,1.43,8.2,0,0.86,250.85,0,0,22.59,0,10.14,0,1.93,0,4.51,0,0.75
108-118,0,0,0,0,5.24,0,0,370.98,0,0,1.37,36.74,5.88,0,0.44,0,7.12,2.87,12.81,0,9.73,303.56,0,0.93,22.93,0,0,0,2.54,0,22.04,0,9.91
120,1.12,0,3.01,0,26.97,0,0,368.98,0,0,0,17.79,1.1,0,0,0,2.18,0,25.87,0,4.59,545.37,0,0,11.24,0,0,0,1.62,0,0,0,0
