stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,1365.62,26802.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928.76,0,0,0,0,0,0,0
  5-6,1834.08,22701.94,0,0,0,0,0,0,0,0,0,65.16,0,0,0,0,0,0,0,0,0,403.09,13.91,0,0,136.59,317.75,0,0,0,0,0,0,0
  7-9,90.66,93.82,0,118.47,0,0,0,73.21,0,0,0,35.86,0,0,0,0,0,0,0,0,0,2628.11,67.56,0,0,582.57,36.48,65.17,0,0,0,0,0,0
 10-12,0,16.97,0,74.91,0,0,0,7.99,0,0,0,4.91,0,0,0,0,0,0,0,0,0,890.34,0,0,0,31.33,44.41,17.54,0,0,0,0,0,0
 14-21,0,0,1.07,1.72,105.77,0,0,0.99,0,0,6.66,0,0,5.07,0,0,0,0,0,1.14,1.25,3.7,0,1.08,1.87,0,40.35,0,0,3.64,0.95,0,0,0
 24-34,0,0,0,0.84,41.74,0,0,0,2.79,0,1.5,0,0,8.56,0,2.27,0.74,1.75,0,0,0,59.22,0,5.42,2.94,0,128.78,0,1.79,0,4.18,0,0,0
 36-46,0,0,0,0,47.21,1.13,0,4.39,4.93,0,0,0,0,10,0,7.6,0,10.05,0.74,1.91,0.84,64.45,0,10.04,0.81,0,200.2,0,0.86,0,3.1,0,0,0
 48-58,0,0,0,0,36.35,0,0,2.01,5.27,0,0.39,3.95,0,6.03,7.76,8.92,0,8.24,1.28,10.45,0,40.44,0,7.5,2.34,0,101.79,0,0,0,0,0,0,0
 60-70,0,0,0,0,55.63,0,0,1.23,3.65,0,1.4,0,0,5.45,0,10.28,3.3,7.28,2.09,3.39,0,27.4,0,3.77,2.22,0,92.94,0,0,0,2.64,0,0,0
 72-82,0,0,0.88,0,23.89,0,2.97,2.48,11.46,0,5.96,0,0,3.56,2.18,13.3,0,0.64,2.55,7.53,0,19.35,0,13.71,1.85,0,75.48,0,0,0,0,1.86,3.59,0
 84-94,0,0,0,0,67.35,0,0,14.97,12.53,2.31,3.67,4.75,0,4.62,0,21.2,0,28.06,1.91,4.17,0,31.66,0,14.2,0.7,0,125.41,0,0.73,0,0,4.42,0,2.17
 96-106,0,0,1.15,0,39.37,3.27,0,3.5,8,3.13,6.12,0,0,12.04,0,10.39,0,6.77,3.05,10.48,0,20.02,0,6.24,2.74,0,124.26,0,0,0,0,5.73,0,6.64
108-118,0,0,0,0.44,58.86,2.59,0,4.76,14.01,3.2,12.63,0,1.36,3,0.41,14,0,5.38,0.72,10.47,0,56.04,0,3.35,4.34,0,97.04,0,0.55,0,0,11.41,0,0
120,0,0,0,0,89.69,0,0,3.35,9.55,0,8.51,0,0,4.7,0,28.31,0,0,0,7.5,0,46.39,0,42.51,0,0,79.96,0,1.86,0,0,1.37,0,0
