stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,74.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.1,3.85,0,0,5.85,0,0,0,0,0,0,0,0,0,0,29.54,0,0,0,7.07,3.28,3.79,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.65,0,0,0,0,0,5.47,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,1.22,0,0,0,0,0,6.43,0,5.89,39.57,0,0,0,1.7,0,0,3.08,1.85,14.37,0,1.02,0
 24-34,0,0,0,0,3.78,0,2.38,0,0,0,0,0,3.52,0,0,29.66,0.67,0,0,0,0.83,0,0,0.6,2.34,0,1.38,0
 36-46,0,0,0,0,2.22,0,0,0,0,0,0,0,7.19,0,2.27,19.61,0,0,0,0,2.3,0,0,0,5.33,0,1.77,0
 48-58,0,0,0,0,7.75,0,0,0,0,0.39,0,0.41,4.37,0,1.64,19.48,0,0,0,0,0,0,0,0,1.73,0,0,0
 60-70,0,0,0,0,9.27,0,4.54,0,0.79,7.43,0,0,7.55,0,0,42.93,0,0,0,0,0,0,0,0,4.63,0,0,0
 72-82,0,0,0.52,0.76,59.68,0.5,2.16,0.56,0,0,0,0,14.22,0,0,42.8,0,0,0,0,0,0,0,0,0,0.52,1.49,1.16
 84-94,0,0,0,0,16.23,0.61,0,0,0,0.66,2.11,1.53,10.98,0.6,0.59,62.51,0,0,2.05,0,0,0,0,0,2.07,0,1.47,7.14
 96-106,0,0,0,0,21.61,0,7.96,0,0,0,0,0,9.67,0,0,38.68,0.66,1.4,0,0,3.56,0,0,0,3.36,0,0,0
108-118,0,0,2.88,0,24.96,0.86,2.93,0,0,0.96,0,0.94,4.9,0,3.92,36.18,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,7.16,0,8.18,0,0,0,0,0,7.75,0,0,83.4,0,0,0,0,0,0,0,0,0,0,0,0
