stage,epidermis,erythrocytes,eye,fast.muscle,glial,immune,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.66,0,2.99,8.83,0,0,0,1.11,0,0
 24-34,0,0,0,0,0,0,2.02,2.57,0,0,0.59,0,11.01,0,0,2.16,0
 36-46,0.58,0,0,0,0,0,0.57,0,0,0,2.93,0,13.09,1,0,0,0
 48-58,0,0,0,0,0,0,3.06,0,0,0,3.12,0,9.39,1.27,0.62,0,0
 60-70,0.88,0,2.45,0.8,0,0,14.96,0.81,0,0,2.73,0,36.2,0,0,0,0
 72-82,0,0,7.6,0,5.2,0,32.34,0,0.92,0.71,9.73,0,68.67,0,0,0,0
 84-94,0,0,0,0,0,0.57,32.05,0,0,0.82,1.21,0,130.22,0,0,0,0
 96-106,0,4.7,4.71,0,0.8,0.74,84.23,4.26,0,0,5.6,0.66,119.45,0,0,0,3.77
108-118,0,0,0,0,1.54,1.15,41.76,0,0,1.16,10.04,0,110.45,0,0,0,0
120,0,6.08,0,1.07,8.7,6.89,48.6,0,0,0,20.88,0,195.17,0,0,0,0
