stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,36.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.23,5.04,0,10.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,16.16,0,0,0,0,0,12.99,0,0,0,0,0,0,0
 14-21,0,0,3.7,1.08,0,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,10.7,0.87,0,0,0,0
 24-34,0,0,4.11,0,0,1.69,0.69,0,0.82,0.66,0,0,0,0,0,1.49,17.57,0,0,0,0,0,0,1.64,0.72,3.32,0,0,0,0
 36-46,0,0,0,0,0,6.1,0.62,0,0,0,0,0,3.43,0,0,0.83,33.9,0,0,0,0,0,0,0.67,0,3.23,0,0,0,0
 48-58,0,0,1.26,2.68,0,1.55,0.69,4.22,0,0,0,0,2.75,0,0,1.35,27.8,0,0,0,0,0,0,0,0,7.05,0,0,0,0
 60-70,0,0,5.03,3.34,0,1.06,0,2.54,0,0,0,0,0.63,0,1.14,2.99,63.39,0,0,0,0,0,0,0,0,15.52,0,0,0,0
 72-82,0,0,3.59,5.07,0,0,0,0,0,0,0,0,3.26,0,1.14,0,26.73,0,0,0,0,0,0,0,0,5.57,0,0,0,3.5
 84-94,0,0,0.77,13.62,0,3.29,0,6.38,0,0,0,0,0,0.76,0,0,33.13,0,1.27,0,0,0,0,0,0,1.65,0.86,0,0,2.62
 96-106,0,0,0.56,2.72,0,0,0,2.29,0,0,0.9,1.54,3.63,0,0,0,23.3,0,0,0,0.87,0.57,0,0,0,0,0,0,0,0
108-118,0,0,2.34,9.89,0.7,0.6,0,3.29,0,0,0,0,4.78,0,0,2.51,21.01,0,0,0,0,0,0,0.51,0,6.67,0,0,0.85,0
120,0,0,5.24,8.63,0,4.86,0,0,0,0,0,0,1.85,0,2.21,1.05,81.98,0,3.1,0,0,1.39,0,0,0,0,0,1.54,10.37,0
