stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,periderm,pronephros,slow.muscle,spinal.cord,taste
  5-6,13.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.3,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,6.36,0
 24-34,0,0,0,0,0,5.81,1.01,0,0,0,2.69,0,5.37,2.72,0,0,0,0.79,0
 36-46,0,0,0,0,0,4.08,0,0,0,0,0,0,8.39,0,0,0,6.26,7.59,0
 48-58,0,0,0,1.52,3.88,5.74,0,0,0,0,0,0,11.33,0,0,0,0.89,2.6,0
 60-70,0,0,0.68,0,0,0.59,0,9.74,0,0,8.67,0,5.02,0,0,0,4.57,2.94,0
 72-82,0,0,0,4.12,0.95,9.03,0,0,0,0,4.62,0,21.63,0,0,0,2.16,1.62,0
 84-94,0,0,0,2.57,0,0.6,0,0,0,2.7,1.84,0,47.95,2.36,0.82,0,6.24,2.35,0
 96-106,0,0,0,7.23,5.79,0.57,1.64,0,2.61,0,6.36,0,4.42,0,0,0,6.73,0,1.14
108-118,0,0.77,0,5.73,1.49,0.43,0,0,1.7,0,6.04,1.94,16.47,5.16,2.25,0,9.62,0,0
120,0,0,0,0,7.11,0,0,0,0,0,7.59,2.15,44.36,3.98,0,0,3.31,0,0
