stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,11.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.07,0,0,4.45,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0.87,2.97,0,0,0
 24-34,0,2.88,0,0,0,0,1.29,0,1.99,0,1.87,4.76,12.07,0,0,0,0.87,0,0,1.02,0,0,0
 36-46,0,24.58,0,0,0,0.61,0.56,0,0.78,0,0,0,68.41,0,0,0,0,1.05,0,0,0,0,0
 48-58,0,1.15,0,0,0,0.38,0,0,0.5,0,0.61,0,106.93,0,0,0,0,0,0,0,0,0,0
 60-70,0,13.87,0,0,0,0,0,0,0,2.13,1.12,0,61.22,0,0,0,1.64,0,0,0,0,0,0
 72-82,0,1.63,7.05,0,0.64,0,0,0.55,0.73,0,0.51,0.68,50.55,0,0,0,1.36,0,0,0,4.7,1.12,2.18
 84-94,0,6.29,5.74,0,0.71,0,3.15,1.76,0,1.39,0.99,0,38.61,0,0,0,0.66,0,0,0,0,2.98,0
 96-106,0,5.57,10.43,1.61,1.02,0,1.77,4.65,0,0,3.69,0,23.72,0,0,0,4.29,0,0,0,0,9.12,3.2
108-118,0,13.05,5.13,0,3.09,0,4.97,7.81,1.59,0,1.39,0,11.5,0.48,0,0,1.16,0,0,0,0,18.71,2.94
120,0,4.89,0,0,10.58,0,1.49,1.08,0,0,2.18,0,19.11,0,17.75,0,3.94,0,0,0,0,10.36,0
