stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,36.21,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.74,4.4,0,0,14.66,0,116.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.19,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.91,19.95,0,0,38.98,0,49,0,4.48,0,0,0,0,0,0,0,0
 14-21,0,0,0,45.82,0.96,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,6.95,0,1.8,12.5,11.35,0,0,3.23,0,2150.35,4.89,0,4.78,8.23,5.11,0,0,0.85,0,0
 24-34,0,0,0.83,22.41,0,0,14.83,0,5.71,2.92,1.24,0,0,0,0,24.63,0,0,0,0,7.1,23.08,0,13.9,191.29,3.37,1.04,0,0,0,3199.8,0,0,5.08,4.83,22.9,0,0,6.11,0,1.34
 36-46,0,0,0,12.44,0,0,15.92,1.18,18.52,0,3.45,0,11.22,0,0,16.3,0,0,0,2.88,5.8,38.63,0,0,124.1,5.95,3.63,0,0,0,5432.71,0,0.86,2.72,0,23.29,0,0,1.94,0,7.6
 48-58,0,0,0,21.12,3.33,0,59.37,0.81,35.7,0.97,9.29,1.04,1.43,0,7.74,4.84,0,2.43,1.88,17.12,8.83,29.06,0,8.84,151.13,0,1.18,0.85,0,0,3750.97,0,0,0,0,30.47,0,0,1.54,0,9.66
 60-70,0,0,0,47.01,0,0,78.18,0,25.27,0,8.39,0,0.9,10.11,0,15.59,0,0,0,0,8.75,29.65,0,2.75,101.31,0.7,0.73,0.72,0,0.71,3187.07,0,0,0,0,4.16,2.13,0,0,0,0
 72-82,0,0.93,0,66.58,6.42,0,37.8,0,35.46,1,1.71,0,0.59,0,0,22.12,0,0.49,0,0,8.76,51.27,1.19,0,88.58,0,0,4.48,0,0,2083.48,0,0,0,0,0,0.59,0,0,0,0
 84-94,0,0,0,202.1,8.36,0,29.98,0,147.05,0.77,15.53,4.1,3.37,0,0,56.97,0,0,0,0,23.13,78.68,0,0,106.55,0,1.84,0,0,0,6390.05,0,0,0,0,0,3.83,0,1.38,0,8.7
 96-106,0,0,0,401.38,16.08,2.33,87.14,0,175.74,0,20.19,26.94,0,1.98,3.39,105.88,1.25,0.8,7.38,0,52.93,122.31,5.98,4.32,147.55,0,4.74,0,0,2.01,6188.29,0,2.18,1.64,0,7.24,6.04,0.77,2.05,2.47,3.85
108-118,0,0.6,0,364.9,17.89,0.6,46.63,0,384.13,1.81,14.95,30.49,0,0.8,1.53,160.53,0,0,9.32,0,56,145.56,2.5,5.67,198.59,0,4.53,1.13,0,0,7921.6,0,0,0,0,4.6,12.83,1.74,6.77,7.9,0
120,0,0,0,433.15,2.97,0,58.68,0,272.62,0,15.87,19.79,0,0,0,69.17,2.23,0,1.05,0,23.4,123.65,14.83,1.44,116.74,3.58,3.8,0,0,0,4354.85,0,0,0,0,0,5.08,0,0,4.11,0
