stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,372.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.66,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,433.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.56,0,0,0,3.87,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,134.32,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64,0,0,8.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,203.37,0,0,0,33.76,0,0.93,0,0,0,0,1.84,0,0,0,0,6.88,2.54,0,6.51,17.24,0,2.91,0,0,0,1.92,0,0.88,0,0,0.81,2.1,0,0,1.35,0,0
 24-34,0,0,0,804.34,0,0,6.95,369.73,27.41,8.29,1,0,0,0,0.77,0,1.28,0,0.8,120.69,10.3,0,155.87,145.53,0.95,8.79,0,0,0,48.7,0,0,0,0.88,2.79,13.52,0,0,1.65,0,1.1
 36-46,0,0,0,790.04,0,0,7.72,548.19,229.21,15.7,0,2.19,0,0,12.36,0,2.37,0,0,296.81,7.95,1.12,188.71,128.11,0,3.45,0,0,0,47.23,0,0,0,0.59,0,21.33,0,0,0.58,0,0.7
 48-58,0,0,0,804.65,0,0,49.26,550.64,326.99,13.85,0,0,0,0,0.45,3.92,3.48,2.43,16.83,323.26,9.59,0.92,119.77,167.77,0,0,0,0,0,38.59,0,0,0.37,0.39,0,17.24,0,0,0.45,0,12.84
 60-70,0,0,0.68,935.24,0,0,44.79,589.39,469.89,6.33,0.77,0,0,0,2.43,0.81,4.44,0,2.33,290.19,7.05,1.04,69.92,148.55,0,2.33,7.24,0,1.65,72.32,0,0,1,0,0,15.47,0,0,4.37,0,0
 72-82,0,0,0,693.92,6.9,0,71.09,505.06,586.12,23.44,1.33,0,1.95,0,2.26,0,7.34,0,3.64,391.65,10.99,1.12,83.05,94.66,0,3.83,0,0,0.71,7.08,0,0,0,3.93,0,4.8,0.51,3.01,12.74,7.36,11.84
 84-94,0.62,0,0,1110.63,0,0,82.71,652.87,414.41,2.48,4.68,0,0,1.12,1.67,3.08,6.21,0,10.66,329.61,7.6,1.21,74.05,76.61,0,0,1.8,0,0,18.97,0,0,0,0,0,7.74,4.28,2.58,0,3.51,5.28
 96-106,0,0,1.61,1003.28,3.91,5.34,36.93,564.82,293.19,15.01,4.08,0,1.02,1.01,2.55,0.95,12.64,0,11.59,256.92,6.17,0,32.9,118.48,0,4.64,0,0,0.79,8.82,0,0,0,0,0,1.92,2.15,0,2.13,0.74,8.86
108-118,0,0,0,859.88,2.44,3.95,36.65,657.21,236.87,10.36,4.58,0,2.55,1.69,2.83,0,4.4,1.6,25.85,292.53,5.6,2.84,26.47,72.37,0,2.78,0.48,0,0,4.2,0,0,0.63,0,0,4.71,1.37,0,4.6,0,5.15
120,0,0,0,661.81,0,0,25.92,372.81,304.36,1.7,0,0,0,2.23,0,4.53,2.12,0,0,334.35,10.41,13.94,32.05,58.72,4.81,0,13.55,0,0,11.4,0,0,0,0,0,0,0,0,4.02,0,0
