stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,692.39,9495.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.1,0,0,0,0,0,0,0,0,0
  5-6,1313.07,16914.9,0,17.04,0,0,0,0,0,0,0,0,45.64,0,0,0,0,0,0,0,0,0,0,0,616.66,85.05,0,0,221.96,0,225.36,0,0,0,0,0,0,0,0,0
  7-9,523.49,423.26,0,722.16,0,8.92,1366.84,0,0,0,0,0,427.9,0,0,0,0,0,0,0,0,0,0,0,11024.7,542.44,0,0,3563.94,0,0,14.99,0,0,0,0,0,0,0,0
 10-12,5.75,171.83,0,296.62,0,70.55,794.86,0,0,0,0,0,87.04,0,0,0,0,0,0,0,0,0,0,0,5997.72,451.23,0,0,2202.89,0,8.38,18.52,16.1,299.62,0,44.47,4.51,0,0,0
 14-21,0,2.34,0.8,6.42,205.37,108.74,182.18,0,0,0,25.43,5.23,4.73,9.19,0,10.48,0,0,9.12,3.76,112.54,0,0,138.7,1272.27,157.14,0.86,4.78,52.79,0,24.94,1.53,309.38,10.12,27.36,409.15,399.7,0,4.03,3.56
 24-34,0,0,0,2.15,50.42,9.95,106.39,0,7.85,5.71,25.77,2.94,1.09,2.01,2.71,0.64,3.33,1.12,2.08,1.33,128.84,0.71,0,68.55,663.85,27.68,3.42,4.42,1,1.61,23.44,0,0,0,0,33.04,163.12,0,25.89,3.52
 36-46,0,0,0,0,10.08,2.23,62.46,0,26.6,8.58,17.32,0,0,2.68,1.03,0,0,0,1.59,1.66,94.91,0,0,45.05,209.49,11.64,0,1.44,0,0,15.9,0,0,0,0,0,49.22,0,2.8,0
 48-58,0.77,0,0,0,6.72,3.5,43.12,0,2.11,13.81,46.45,0,0,0.88,0.38,0,4.61,0.51,1.48,0.8,90.65,0,0.77,20.45,96.9,8.52,0,0.41,0,0,12.12,1.31,0,0,2.52,0,38.84,0.37,3.41,4.4
 60-70,0,0,0,0,4.9,1.88,43.09,0,1.55,33.06,33.84,0,0,1.76,0,0,2.03,0,4.62,0,70.89,0,0.64,7.59,51.45,2.16,0,0,0,2.55,7.87,0,5.3,0.93,0,0,17.14,0,1.47,0
 72-82,0,0,0.49,0,3.21,7.59,24.02,0,0.56,29.61,48.8,2.59,0,0,1.1,0,1.39,0,3.14,0.6,125.13,1.05,1.72,20.65,37.68,0,0,0,0,0,2.98,0,8.75,3.62,0,0,22.39,1.53,3.64,0
 84-94,0,0,0,0,4.25,7.36,19.73,0,0,21.08,14.89,0,0.71,0,2.09,0,0,0,0,7.72,67.94,1.13,0,5.99,10.52,1.82,0,0,0,0,4.36,0,0,0,0,0,4.41,1.26,1.23,0
 96-106,0,0,0,0,0,17.93,19.28,0.57,0,6.11,17.18,0,0,2.59,2.59,0,0.6,0,0,0,35.87,0,0,1.83,11.35,1.18,0,4.96,0,3.32,4.43,1.06,0,0,0,0,8.03,0,0.67,0
108-118,0,0,0,0.74,0,13.94,10.94,0,1.32,1.53,16.45,0,0,0,1.52,0,0,0,0,0,36.51,0,0,8.06,19.92,1.37,0,4.91,0,0,8.63,2.05,0,0.5,0,0,1.02,1.53,6.88,0
120,0,0,0,0,2.12,29.35,0,0,0,3.49,35.49,0,0,0,2.22,0,0,0,0,0,33.93,0,0,6.55,19.91,2.52,0,9.92,0,0,3.55,2.3,0,3.24,0,0,2.96,0,0,0
