stage,endocrine_pancreas,epidermis,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,periderm,pronephros,somites,spinal_cord,taste,vasculature
 14-21,0,3.48,1,1.06,0,0,0,0,0,2.82,0,4.51,14.87,1.9,0,0,4.26,7.38,0,0
 24-34,0,1.08,1.8,0,0,0,0,0,0,0.84,0,0,16.68,0,0,0,7.7,3.99,0,0
 36-46,0,0.65,2.44,0,0,0,0,0,0,1.49,0,0,4.19,0,0,13.21,0,0.58,0,1.1
 48-58,0,0,6.08,0,0,0,0,0,0,1.42,0,0.41,4.05,0,0,0,0,0,0,0
 60-70,0,1.09,14.25,0,0,0,0,1.16,0,0,0,0,0.68,0,0,6.01,0,0,0,0
 72-82,0,6.12,4.37,2.44,1.41,0,0,0,0,1.71,0,0,1.58,0,0,29.31,0,0,0,0
 84-94,0,0,3.55,1.24,8.79,0,0,0,0,0,0,0,7.83,0,0,117.4,0,0,0,0
 96-106,7.15,0,0,0,10.38,1.06,0.74,0,0,3.88,2.73,0,0,0,0.59,84.28,0,0,0,0
108-118,3.25,0,13.62,0.99,45.99,0.8,0,0.87,0,0.88,0,0,5.99,0,0,88.37,0,0,2.16,0
120,0,2.74,6.19,16.16,99.08,0,0,0,3.84,8.72,0,0,38.48,0,0,82.2,0,0,0,0
