stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,7.83,0,0,519.84,0,0,0,4.76,22.75,0,5.41,0,0,0,0,0,0
 14-21,1.36,1.11,0,6.69,5.69,1.11,0,0,0,0,1.7,0,0,0,0,7.27,0,19.64,58.18,5.92,0,0.93,0,0,0,0,545.94,0,10.92,444.23,14.54,0,0,0,0,0
 24-34,0,0,0,4.39,1.8,10.37,0,0,2.48,0.71,0.89,0,0,0,0,31.6,0,5.32,185.92,1.32,1.12,0,0,0,6.03,0,5.42,0,0,51.79,47.78,0,0,0,0,0
 36-46,0,0,0,4.82,0,4.88,0,0,0,3.69,0,1.44,0,0,0,24.96,2.63,2.25,518.88,0.56,4.9,0,0,0,3.64,1.02,0,0,0,0,100.81,0,0,0,0,0
 48-58,0,0,0,1.49,0,43.56,1.06,1.45,0.48,17.38,0,0,0.53,0,2.61,21.47,0.84,2.05,676.62,1.91,2.63,0.46,0,0,3.58,0,0,0,0,0,113.78,0,0,1.23,0,0
 60-70,0,0,0,2.86,0,135.18,0,0,0,48.65,0,0,0,0,1.24,11.87,0,1.61,695.88,0.66,0.98,0,0,4.14,5.76,0,0,0.73,0,0,91.29,0,0,0,0,4.79
 72-82,0,0.58,0,1.8,0,186.97,0,0,1.2,55.61,0,1.72,0,0,3.49,35.59,0,0.86,570.25,0,0,0.86,0,0,0.58,0.85,0,0,0,0,66.62,0,0,0,2.06,0
 84-94,0,0,0,5.32,0.83,110.02,0,0,0,65.35,0,0,0,7.26,0,31.07,0,0,339.49,0,1.39,0,0,7.92,20.45,0,0,0,0,0,72.74,1.79,0,0,0,0
 96-106,0,0,0,8.48,0,157.24,0,0,0,68.25,0,0,0.91,0,2.1,17.98,0,0,328.27,0,2.28,6.85,0,3.31,0.82,0,0,0,0,0,10.23,5.36,1.27,9.48,4.39,0
108-118,0,5.3,0,8.56,2.69,131.15,0,0,0,55.06,6.51,0,1.08,0,0.59,9.45,2.7,1.21,322.79,0,0,0.66,0,2.78,3.38,0,0,0,0,0,42.74,6.8,0,1.07,0,0.52
120,0,0,0,1.07,0,154.54,0,0,0,155.86,0,0,0,0,0,11.19,8.42,0,392.89,0,0,7.62,0,2.76,4.79,0,0,0,0,0,21.54,4.75,0,0,11.17,2.85
