stage,axial,blastomeres,erythrocytes,eye,glial,immune,liver,mesenchyme,mural_cell,neural,spinal_cord
  5-6,6.98,6.58,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.25,0,0,0,0,0,8.94,0
 14-21,0,0,0,0,0,0,0,1.74,0,0,0
 24-34,0,0,0,0,0,0.67,0,0,0,6.56,0
 36-46,0,0,0,0,0,3.97,0,1.64,0,2.89,0
 48-58,0,0,0.56,0,0,54.17,0,0,0,2.52,0.39
 60-70,0,0,0,0,0,59.99,2.5,0,1.04,1.76,0
 72-82,0,0,0,0.94,0.93,67.61,2.88,2.74,0,3.85,0
 84-94,0,0,0,0,0,122.67,1.91,1.21,0,1.46,0
 96-106,0,0,2.55,5.21,0,109.1,7.09,0.61,0,3.14,0
108-118,0,0,0,0,0,142.07,9.37,0.97,0,5.05,0
120,0,0,0,0,0,286.5,13.77,0,0,0,0
