stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0
  5-6,16.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,0,0,0,0,4.35,0,0,0,0,0,0,0,0,0
 10-12,15.28,0,0,0,0,0,19.64,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,101.94,5.45,0,0,6.52,15.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.95,1.03,0,0,0,0,0,0,1.33,0,0,0,2.85,0,0,0,0,0,1.26,0,1.37,13.47,0,1.44,0,0,124.04,0,0,51.38,43.01,24.22,0,0,0,0
 24-34,0,3.35,3.26,12.01,0,0,19.98,40.79,2.63,1.54,0,2.35,0,0.82,0,25.41,0,4.34,0,0,6.53,12.7,0,22.63,180.64,0.63,14.96,1.78,0,481.97,0,0.6,26.85,48.99,42,0,0,0,0
 36-46,0,0.85,0.72,8.84,8.68,0,56.24,47.52,9.04,0,1.16,0.72,0,0,0,35.91,0,3.31,0,0,12.29,7.17,0,12.89,137.41,0,9.49,3.49,0,655.41,0.81,0.95,23,3.75,25.54,0,0.81,0,0
 48-58,0,1.36,0.52,16.8,0,0,133.09,26.43,9.85,1.54,8.71,2.33,0,0,0,28.51,0,3.86,4.43,0,15.21,11.11,0,6.24,174.24,0,6.53,14.27,0,542.32,0,0,5.56,0,10.32,0,1.1,0,6.29
 60-70,0,1.52,0,31.97,0,0,401.11,30.42,22.58,0,21.3,2.26,0,3.33,0,24.44,0,6.28,4.89,0,6.34,14.33,0,6.41,164.56,0,9.37,2.19,0,561.47,0,0.73,7.26,0,9.86,11.06,0,0,0
 72-82,0,4.05,3.31,63.98,7.24,0,594.09,13.79,11.18,1.09,34.71,6.7,2.07,0,0.52,20.59,0,21.89,3.49,0,14.77,16.95,1.19,9.81,134.55,0,7.25,15.62,0,412.4,3.31,0,7.45,0,16.07,14.68,0,0,4.13
 84-94,0,4.48,0,115.54,8.17,1.48,565.14,29.29,42.06,0,100.87,34.8,0,0,0.81,38.06,0,19.04,3.21,0.71,15.84,23.2,0,1.61,170.66,0.61,5.05,38.52,0,1008.76,0,1.61,10.31,0,1.76,31.85,1.22,2.93,0
 96-106,0,8.63,0,158.87,1.27,0,604.48,24.2,23.32,0,40.95,23.01,0,1.02,0.91,48.71,1.25,29.19,0,0,31.92,18.85,2.17,7.77,181.13,0,15.89,39.62,0,848.17,0,1.76,10.45,0,0.57,41.19,0.56,0,8.2
108-118,0,10.92,0,188.85,0,1.62,582.11,20.07,61.72,0,52.16,33.89,0,0,5,66.07,0,19.28,1.97,0,27.43,18.9,10.31,10.34,247.24,0,11.54,36.37,8.11,772.43,0,1.06,5.36,0,12.42,54.45,1.32,0,0
120,0,15.34,0,240.04,0,0,612.53,33.01,60.88,0,252.48,56.82,0,0,3.76,58.28,8.53,24.94,19.69,0,1.55,12.4,0,7.77,330.22,0,17.72,47.58,0,719.58,0,0,2.52,0,13.58,29.98,0,0,0
