stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,56.68,666.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.83,623.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.41,4.1,0,7.59,0,0,30.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.91,11.3,0,18.24,0,8.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.65,0,20.35,0,0,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.51,7.26,0,32.51,0,0,0,3.64,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.27,5.73,1.65,3.94,0,0,0,0,0,0.92,0,0,0,0,0,9.06,0,8.04,28.64,0.82,1.02,0.84,0,0,5.76,0,2.72,8.56,6.64,0,0,0,0,0
 24-34,0,0,0,0,6.83,0,2.69,0,0,3.62,0,0,2.01,0,0,0,0,0.62,22.26,0,17.08,69.87,0,2.55,0,14.02,0,0,0,0.78,0,19.05,0,0,38.28,0,1.26
 36-46,0,0,0,0,1.86,0,8.51,0,0,2.88,3,0,0.84,0,0.86,0,0,0,38.36,0,6.95,52.13,0.82,0,0,13.81,0,0,0,0,0,11.72,0,0,31.27,0,3.36
 48-58,0,0,0,0,0.6,0,1.23,0,0,0.87,2.42,0,0.83,0.42,7.19,0,0.48,1.95,22.18,0,3.84,33.52,0,0,0,6.1,0,0,0,0,0,4.09,0,0,12.39,0,0.68
 60-70,0,0,0,0,1.66,0,7.82,0,0,6.62,4.61,0,0,1.9,4.88,0,1.2,0,40.14,0.62,0,22.55,0,0,0,0,0,0,0,0,0,4.22,0,0,4.97,1.46,0
 72-82,0,0,0,0,2.84,3.74,7.6,0,0,0.66,3.55,0,1.04,0,0,0.67,0,0,26.03,0,0.68,17.59,0.53,0,0,1.14,0,0,0,0,0,6.27,0,0,18.06,0,2.17
 84-94,0,0,0,0,0.62,3.42,4.06,0,3.69,1.95,4.33,0,2.1,2.97,1.61,0.69,0,0,34.4,2.35,0.66,17.66,0,1.18,0,4.44,0,0,1.13,0,0,2,0,0,6.88,4.06,9.51
 96-106,0,0,0,0,0.81,0,8.73,0,0,1.6,8.74,0,0,0,1.14,0,0,0,6.98,1.17,0,15.05,0.57,0,0,1.35,0,0,0,0,0,5.15,0,1.48,30.09,0,0
108-118,0,0,1.39,0,2.27,0.86,15.72,0,2.17,0.45,12.35,0,1.1,1.39,3.56,4.77,0,0.5,30.29,0,1.67,26.57,0,0.93,0,0.77,0,0,0.72,0,0,0.7,0.68,0,16.76,0,0
120,0,0,0,0,2.56,1.14,15.82,1.61,1.42,0,9.41,1.42,0,3.66,0,0,0,0,7.31,0,0,40.2,0,0,0,4.21,0,0,0,0,0,0,0,0,19.73,0,0
