stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,15.49,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,51.34,0,0,0,29.13,0,0,4.19,0,0,0,0,0,0,0,0
 14-21,0,0,28.17,0,0,0.89,0,7.55,0,0,0,0,0,0,0,0,0,5.7,2.92,0,0,0,0.83,25.15,3.08,0,0,0,0,0,6.92,7.67,2.78,15.46,0,0,0,0,0
 24-34,0,3.41,120.6,0.66,0,6.33,0,162.15,1.62,0.63,0,0,0,0,0,0,0,10.09,20.8,6.77,0,0,11.54,174.77,0.63,0,1.6,0,2.6,0,0,26.53,1.36,55.47,0,0,0.64,0,6.99
 36-46,0,6.93,105.8,1.4,0,4.96,0,182.82,4.16,3.91,0,0,0,0,0,0.74,0,30.29,95.56,7.87,0.58,0,1.94,342.93,7.43,6.14,0,0,0,0,0,3.94,0,66.01,0,0,1.01,0,24.2
 48-58,0,1.44,91.69,0,0,19.17,0,234.52,0.45,7.03,0,0,0,0,0,0.9,0,13.82,98.89,15.02,0.63,0,1.25,554.88,9.36,3.56,0,0,5.61,0,0,0.61,0,90.08,0,0,5.01,0,3.84
 60-70,0,1.46,115.11,0,0,62.31,0,209.54,1.53,6.15,0,0,0,0,0.62,4.35,0,1.41,71.49,24.96,0,0,3,692.15,0,2.42,0,0,0.7,0,0,2.8,0,38.95,0,0,0,0,0
 72-82,0,3.74,89.99,0,0,99.81,0,175.41,0.64,14.5,0,0,0,0,2.89,6.44,0,8.94,37.35,84.5,1.87,0,3.95,1260.61,0,3.26,1.13,0,1.14,0,0,2.73,0,58.85,1.87,0,0.51,1.09,2.44
 84-94,0,8.27,173.49,0.79,0,54.21,1.27,224.81,0,18.27,3.42,0,0,0,3.3,3.09,0,16.42,78.89,60.03,4.13,2.23,3.39,657.26,0.65,3.3,0,0,5.82,0,0,0.93,0,18.2,0,0,0.57,1.58,0
 96-106,0,9.08,178.01,3.76,0.66,86.45,0,230.62,0,30.57,0,0,0,1.56,7.86,0.59,1.11,37.93,19.04,93.25,8.71,4.11,0,916.28,0,3.72,2.78,0,7.56,2.06,0,1.33,0,32.02,1.87,0.79,7.35,1.78,4.51
108-118,0,7.3,200.17,1.71,2.84,73.15,0,287.47,3.55,18.07,0,0,1.44,0,19.64,8.4,0.84,142,49.36,60.2,4.45,0,1.93,1006.77,0,9.13,0.8,0,5.57,0,0,1.2,0,32.82,0,0,0,1.71,0
120,0,20.59,215.55,1.53,0,96.02,0,195.63,26.82,22.9,1.14,0,0,0,12.62,1.43,0,94.86,12.09,53.22,4.09,0,0,1423.82,0,2.4,3.84,0,3.8,0,0,5.92,0,25.61,0,5.4,0,0,0
