stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.02,0,0,15.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.61,8.14,0.82,0,0,0,0,0,0,0,0.86,0,0,5.71,7.67,1.39,0,0.84,0,0,1.06,0,10.76,0,0,2.01,0,0
 24-34,0,2.58,10.83,1.85,2.36,0,0,0,1.09,0,2.16,0,0,18.78,0,2.13,10.74,0,0,0,0,0,0,1.76,2.64,7.11,0,15.72,0,0
 36-46,0,0,1.85,0,0,0,0,0.63,0,0,0,0,0,11.63,0,0,13.51,0,0.63,0,0,2.94,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.54,1.96,0,0,2.1,0,0.45,0,0,18.07,0.44,4.52,11.29,5.42,0,0,0,0,0,0,0,0,0.84,5.16,0,0
 60-70,0,0,0.73,0,7.28,0,3.8,12.68,2.42,0,0,0,2.08,55.36,0,8.64,3.36,0,0.91,0,0,0,0,0,0,0,0.94,1.86,0,0
 72-82,0,0,0,0,0,0,0,2.6,0,0,1.12,0.96,0,31.93,1.31,0.77,6.76,0,0,0,2.5,0,0,0,0,0,2.85,9.21,0,1.68
 84-94,0,0,0,0,0,1.15,0,0.91,1.33,0,0,0,0,48.87,0,9.12,1.83,0,0,0,2.16,0,0,0,0,0,0,6.71,2,0
 96-106,0,0,0,0,0,0,0,0,1.89,0.6,0,0,0,15.73,0.93,3.01,0,0,0,0,0,0.73,0,0,0,0,0,6.87,1.22,0
108-118,0,0,1.94,0.66,3.22,0,0,4.12,1.13,0.46,0,0.5,0.78,48.53,1.29,4.48,4.08,0,0,0,1.84,0,0,0,0,0,0.92,6.84,0.57,2.08
120,0,0,4.02,0,1.66,0,0,0,0,0,8.04,0,0,55.66,19.65,9,12.45,0,0,0,0,0,0,0,0,0,0,24.45,0,0
