stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,25.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.25,145.93,0,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.04,0,0,18.16,0,0,0,74.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.26,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.89,0,16.36,0,7.16,0,21.35,0,0,0,0,0,3.01,0,0,0,0,0,0,0,0,0,0,408.41,0,0,0,107.89,0,0,6.41,0,13.79,0,3.51,0,0,0,0,0
 14-21,0,0,0,4.49,20.24,7.23,0,14.76,0,0,0,1.15,0,0,0,0,0,0,0,0,0,14.29,0,3.34,139.66,0,0,0.95,7.48,0,0,0,8.94,1.05,6.19,46.79,0,0,0,0,0
 24-34,0,0,0,0,6.17,0,0,6.39,0,0.85,0,0,0,0,0,0,0,0,0,0,0,8.09,0,0.94,112.83,0,0,0.69,0,0,0,0,0,0,0.66,31.84,0,0,2.99,0,0
 36-46,0,0,0,0,1.49,0,0,42.44,0,0.86,0.87,0,0,0,0,0,0,0,0,0,0,5.79,0,1.15,55.74,0,0,0,0,0,0,0,0,0,0,13.84,0,0,0,0,0
 48-58,0,0,0,0,7.1,0,0,407.75,0,6.07,0,3.55,0.38,0,0.69,0,0,0,0.39,0,0,9.81,0,0,64.22,0,0,0.98,0,0,0,0,0,0,0,2.94,0,0.74,0,0,0
 60-70,0,0,0,0,6.12,0,0,2786.68,0,0.89,0,5.78,0,0,0.66,0,0,0,0,0,0,20.26,1.4,0,118.47,0,0,0,0,0,0,0,0,0,0,6.59,0,0,0.75,2.04,0
 72-82,0,0,0,0,18.66,6.54,0,5977.83,0.76,5.43,1.61,87.75,0,0,0,1.83,0,0.57,0.68,0,1.8,28.74,3.24,0,289.83,0,2.74,1.06,0,2.26,0,0,0,0,0,8.97,2.32,0,1.92,1.13,8.1
 84-94,0,0,0,0,20.14,1.06,0,4578.06,0.56,8.75,3.03,64.76,0.57,0,6.3,0,0,1.66,0,1.67,0,36.27,2.31,3.95,281.76,0,0,7.59,0,0,6.26,0,0,0,0,4.72,3.4,3.75,0,5.76,17.91
 96-106,0,0,0.91,0,22.71,1.27,2.1,7043.4,0,16,0,103.4,6.15,0,2.86,4.12,0,0.81,1.95,10.79,0,50.14,3.14,3.36,282.45,0.86,2.35,3.29,0,0.97,10.3,0,0,0.6,0,5.3,0.61,7.65,9.1,4.91,2.44
108-118,0,0,0,0,60.18,1.06,0,5911.54,0,18.84,4.07,71.16,0.45,0,0,4.29,0.78,0,0,0.46,0,38.76,5.54,1.85,321.88,3,1.39,5.98,0,0,0.45,0,0,1.48,0,1.21,0,0,1.51,6.82,3.17
120,0,0,0,0,48.54,1.8,0,3479.73,0,8.58,0,89.78,0,0,0,0,0,0,0,0,0,35.59,11,3.42,374.8,0,3,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0
