stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.4,409.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.99,0,0,0,0,0,0,0,0,0
  5-6,13.62,89.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0
 14-21,0,0,1.32,0,1.06,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,4.88,56.79,0,3.47,0,0,0,0,0.89,0,1.15,58.67,0,0,0,0,0
 24-34,0,0,0.71,0,1.28,0,2.55,0,0,0,0,0,1.21,0,0,0,0,4.29,0,0.87,494.17,0,34.63,0,0,0,0,1.09,0,0,120.64,0,0,0,0,0
 36-46,0,0,0,0,1.07,0,34.73,0,0,0,0,0,0,0,0,0,0.71,4.28,0,0,979.84,0,44.42,0,0,0,2.36,0,0,0,216.33,0,0,0,0,0
 48-58,0,0,0,0,3.76,0,89.66,0,0.58,6.23,0,0,0,0,0,0,1.1,4.8,0,0,1356.53,0,41.75,0,0,0.47,0,0,0,0,300.84,0,0,0,0,0
 60-70,0,0,0,0,0.9,0,227.29,0,0,3.55,0,4.6,0.71,0,0,0,3.19,2.96,0,0,1794.45,0,35.83,0,0,0,0,0,1.33,0,331.34,0,0,5.09,0,5.76
 72-82,0,0,2.35,0,3.54,6.43,312.58,0,0,8.74,0,0,0,0,0,0,0,12.25,0,0,1677.12,0,47.46,1.42,0,0,0,0,0,0,265.13,0,0,0.9,1.26,0
 84-94,0,0,3.73,0,3.65,0,214.77,0,0,23.88,1.49,0,0,0,0.69,0.82,0,22.65,0.6,0.55,1168.23,0,41.66,0,0,0,0.71,0,0,0,211.95,2.12,0,0.66,0,0
 96-106,0,0,0,0,6.74,0,215.11,0,0,9.84,0,0,0,0,0,0.68,0.71,17.23,2.34,0,1044.97,0.81,54.51,0,0,0,3.48,0,0,0,128.69,0,0.77,3.48,0,0
108-118,0,0,2.14,0,6.09,7.05,235.94,1.3,0,27.09,2.04,0,0,1.43,0,0.98,3.85,16.03,0,0,1077.2,0,41.56,0,0,2.92,1.94,0,0,0,84.98,0,0,2.51,0,0
120,0,0,0,0,0,2.63,237.33,0,19.12,57.98,2.52,0,0,6.33,2.6,0,0,8.45,0,1.49,1534.84,0,41.4,0,0,0,0,0,0,0,62.37,0,0,30.61,0,0
