stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,mucous,neural,spinal.cord,xanthophores
  3-4,13.68,0,0,0,0,0,0,0,0,0,0
  5-6,9.05,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,11.71,0,0
 14-21,0,0,0,0.8,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,5.4,0.64,0
 36-46,0,0,0,1.31,0,0,0,0,16.37,3.27,0
 48-58,0,0,0,6.71,0,0,0,0,3.17,1.51,0.48
 60-70,0,0,0,46.81,0,0,1.12,0,18.19,8.2,0
 72-82,0,0,0,20.99,2.12,0,0,0,4.55,0,0
 84-94,0,0,0,40.52,0.85,0,0,0.98,17.79,0,0
 96-106,0,0,0,41.37,0,0,0,0,2.78,0,0
108-118,0,0,1.32,42.64,0,1.19,1.22,0,5.08,0,0
120,0,1.24,0,39.98,0,0,5.5,0,9.71,0,0
