stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.56,0,0,0,0,0,0,0,0
 14-21,0.94,0,0,0,0,0,0,0,0,0,0,1.09,0.85,0.94,0,0,4.04,0,0,0
 24-34,0,0,0,0,0,0,0.71,0,0,0,3.67,2.68,0,0,0,0,0,0,0,0
 36-46,0.55,0,0,0,0,0,5.21,0,0,0.74,0,2.27,0,0,0,0,0,0.63,0,0.79
 48-58,0,0,0,0,7.66,0,7.3,0,0,2.39,0,9.14,0,0.52,0,0,0,1.57,0,1.13
 60-70,0,0.83,0.82,0,40.17,0,20.31,1.04,0,5.31,0,13.29,0,0,0,0,0,1.95,0,2.16
 72-82,0,0,0.55,0,151.5,0.7,16.4,0,0,10.8,0,22.2,0,0,0,0,0,0,0.94,3.49
 84-94,0,0,1.67,0,103.65,0,46.67,0.96,0,0.75,0,15.73,0,0,0,0,0,0,0,2.81
 96-106,0,2.07,7.32,1.14,138.27,1.46,50.88,0,0,9.48,1.73,8.59,0,0,1.96,2.42,0,2.14,0,1.54
108-118,0,0.49,2.3,0,217.6,0,55.89,0,0.89,9.98,0,8.4,0,0,1.83,0.49,0,0,0,2.94
120,0,0,14.9,0,245.81,0,65.02,0,0,11.87,0,53.97,0,0,12.34,0,0,0,0,3.31
