stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,197.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,191.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0,0,0,0
  7-9,31.48,3.43,0,0,82.45,0,0,0,0,0,0,0,0,0,0,0,432.54,32.45,0,320.94,0,0,0,0,0,0,0,0,0
 10-12,27.45,63.98,0,0,158.56,0,0,0,0,0,0,0,0,0,0,0,1041.98,52.08,0,788.38,0,16.55,0,66.85,5.05,0,0,0,0
 14-21,0,0,12.25,4.08,35.21,0,0,8.94,0,4.72,0,0,0,5.91,0,4.81,711.76,14.6,0,74.11,16.56,0,118.21,0.87,32.66,148.92,0,0,0
 24-34,0,0,1.27,0.91,77.16,1.33,2.69,15.18,0,0.6,2.57,0,0,21.59,0,5.63,1193.46,5.08,2.42,1,36.35,0,0,0,16.21,167.76,0,0.93,3.29
 36-46,0,0,2.98,0,64.23,0,1.68,76.69,0,0,0,0,0,14.78,0.72,2.91,650.14,1.44,1.25,0,35.45,0,0,0,0,180.88,0,0.56,0
 48-58,0,0,9.14,0.44,61.08,0,13.2,113.95,0,0,0,0,0,12.18,0,0.38,219.26,0,1.22,0,17.95,0,0,0,0,125.12,0,0,0.62
 60-70,0,0,0,0,55.03,0,1.37,139.77,0,0,0,0,0,6.28,0,1.62,140.87,0,2.68,0,3.57,0,0,0,0,71.62,0,0,0
 72-82,0,0,2.05,7.69,16.51,0,5.73,140.53,0,0,0,0,0,4.37,0,0,55.53,0,5.63,0,5.66,0,0,0,0,18.23,0,0,0
 84-94,0,0,0,0,22.12,0,6.39,101.08,0,0,0,0,2.58,6.5,0,0,43.06,0,5.5,0,3.84,0,0,0,0,5.18,0,0,0
 96-106,0,0,0.86,0,21.12,0,2.94,99.61,0.56,0,0,0.94,0,0,0,0,57.92,0,0.6,0,5.83,0,0,0,0,3.72,0,0,0
108-118,0,0,1.49,0,19.08,0,4.84,104.37,0,0,0,1.88,0,4.28,0,0,41.91,0,19.48,0,1.4,0,0,0,0,4.35,0.44,0,0
120,0,0,13.19,0,39.28,0,0,126.23,0,0,0,0,0,16.06,0,0,37.69,0,15.67,0,1.86,0,0,0,0,8.23,0,0,0
