stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,20.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,0,0,0,0,0
 14-21,0,0,1.12,0.98,0,0,0,0,0,0,0,0,0,2.47,6.95,0,0,0,0.86,1.13,0,0,13.72
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,22.39,0,0,0,0,0,1.73,0,78.27
 36-46,0,0,0,10.47,3.83,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,1.68,0,70.45
 48-58,1.15,0,0.52,0,17.5,0.39,0,1.42,0,0,4.19,0,2.56,0.49,19.67,0,0,1.57,0,0,1.42,0,91.23
 60-70,0,0,0,11.58,12.43,1.47,0,0.77,7.17,0,0,0,9.22,0,16.12,0,0,0,0,3.18,2.86,0,107
 72-82,0,0,0,9.33,18.52,0,0.49,1.9,0,0.84,0.49,0,35.99,0,18.86,0.61,0,0,0,0,0,0.56,202.11
 84-94,0,0,0,0.57,11.97,0,0,1.44,0.93,0,0,0,42.76,0,20.78,0,0,0,0,0,0,0,172.15
 96-106,0,0,0.69,0,24.73,3.12,0,4.47,2.51,0,0,0,25.62,0,28.53,0,0,0,0,0,2,0,192.42
108-118,0,0,0,0,19.72,1.76,0,3.83,2.16,0,1.03,0.6,40.26,0,13.72,0,0,0,0,0,0,1.37,145.49
120,0,0,0,0,23.79,0,0,10.06,0,0,0,0,48.87,3.08,20.23,0,0,0,0,0,0,0,196.09
