stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.04,820.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0
  5-6,13.74,590.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,0,216.67,0,0,0,0,0,0,0,0,0,0
  7-9,6.37,4.95,0,0,0,0,0,13.16,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,130.69,25.22,0,0,52.94,121.41,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.44,0,0,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,226.64,5.93,0,0,27.66,135.86,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,125.79,2.89,0,2.04,0,0,0,1.28,4,3.58,0,0,9.23,0,0,13.82,0,1.14,7.01,0,0,57.14,12.29,0,0.84,0,1522.73,0,1.07,0.82,0,2.15,17.42,0,0,0,0
 24-34,0,0,0,0,113.47,0,0,7.05,0,13.41,0,0,7.55,0.73,0,0,24.55,0,7.27,6.69,0,9.99,27.2,0,10.4,239.6,0,46.6,0,0,2477.45,0,0,2.5,6.89,0.8,7.25,0,2.63,0,0
 36-46,0,0,0,0,84.61,1.99,0,13.79,0.63,55.24,0,2.31,4.27,0,0,0,22.47,0,9.18,0,0,14.25,57.09,0,0.59,329.82,0,85.85,0,0,3534.83,0,0,10.72,0,0,23.89,0,0.6,0,3.88
 48-58,0,0,0,0,104.15,1.88,0,28.46,2.59,86.82,4.61,16.55,7.28,4.1,1.79,1.37,21.91,0,16.75,0,0.62,9.56,31.44,2.96,3.14,226.6,5.68,72.05,2.69,0,3158.28,0,0,0,0,0,29.98,0,8.79,0,20.13
 60-70,0,0,0,0,153.8,0,0,41.53,0,41.67,0,0.9,4.7,3.93,0,2.34,7.16,0,21.23,0,0,5.82,13.29,0,0,131.12,0,47.29,0.91,0,2017.3,0,0,0.62,0,0,9.19,24.02,4.96,0,22.4
 72-82,0,0,0.87,0,181.16,1.12,0,29.94,0,58.98,3.48,3.14,55.03,5.3,0,0,17.18,0,29.92,0,0,3.69,16.61,6.73,0.6,154.29,0,81.37,2.4,0,1208.98,1.65,0,0.86,0,0,6.91,66.96,2.55,1.37,19.11
 84-94,0,0,6.67,0,402.37,2.33,0,28.22,0,127.06,0.75,8.01,76.57,0.74,0,0.69,44.17,0,34.9,0,0,29.1,30.86,0,1,170.31,0,147.94,1.34,0,2832.07,0,0,3.26,0,0,10.87,264.49,0.64,3.28,13.81
 96-106,0,0,0,0,574.03,11.02,7.76,47.12,0.71,143.35,2.78,0.72,200.26,2.64,0,2.09,32.08,0.74,49.91,17.52,0,13.65,43.58,0,0.58,208.05,0.97,211.87,0.65,0,2221.35,0,0,0.72,0,0,8.34,433.76,0,0,8.12
108-118,0,0,0,0,420.78,3.59,2.57,46.01,0.42,231.39,0.73,1.5,183.28,0,0.47,3.22,53.18,0,43.47,0,0,17.67,39.43,1.62,1.17,134.12,0,179.52,0.69,0,2265.22,0,0,1.13,0,0,2.35,459.61,0.85,1.78,0
120,0,0,0,0,242.25,0,0,31.38,0,110.02,0,18.01,73.49,0,0,7.64,19.77,0,13.02,0,0,15.76,37.68,8.33,0,188.17,0,115.62,0,0,1056.02,0,0,6.97,0,0,5.98,121.64,1.14,0,2.34
