stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,2.24,0,0,0,0,0,0,0,0.79,0,0,0,0,0,2.55,0,0,0,4.26,0,0,0,0,0,0.88,0.71,0.78,0,0,0,0,0
 36-46,4.17,0,0,0,0,5.4,1.16,0,0,0,0,0,0,0,11.23,0,0,1.08,8.03,0,0,0,9.13,0,2.41,0,1.1,0,0,0,0,0
 48-58,13.89,0,4.44,1.95,0.45,12.62,1.48,0,0,0,0,0,0,0,20.98,0,0,7.05,40.77,0.64,0,0,0,0,1.68,0,0.54,0,0,0,0,0
 60-70,19.58,0,1.24,2.79,4.26,15.66,96.34,0,0,0,0,0,0,0,94.42,0,0,23.41,50,0,2.96,0.98,0,0,0.73,0,0,1.22,1,0,0,3.21
 72-82,28.7,0,14.22,1.78,1.59,33.08,655.54,0,3.11,0,0,0,0,0,214.39,1.59,1.78,19.42,63.42,0,0,3.98,0,0,0.57,0,0,2.36,3.35,0,2.44,0
 84-94,53.97,0,15.74,6.78,5.22,30.97,659.28,0,0,0,0.68,0,0,0.57,249.42,0.67,15.79,29.9,71.9,0,0,2.11,0,2.4,1.65,0,0,0,1.97,0.73,3.86,0
 96-106,36.55,3.32,32.93,1.45,9.71,32.28,2025.03,0.9,5.96,0.63,0,2.01,1.64,1.54,267.4,0,6.72,18.29,142.41,0,1.7,7.11,3.34,0,0,0,0,0.87,8.8,0,5.08,0
108-118,63.06,0.65,19.59,4.68,7.91,35.01,2052.72,1.21,1.56,0,1.1,1.68,0.96,0,335.91,0.49,9.79,26.77,174.08,1.74,0,2.78,0,0,0,0,0,1.42,3.69,1.6,0,0
120,54.94,0,17.5,8.34,6.19,44.71,2044,0,0,0,0,0,0,13.95,280.23,3.22,0,34.38,151.26,0,2.74,33.64,16.91,0,1.03,0,0,2.31,0,0,0,0
