stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,visceral_smooth_muscle
  3-4,47.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0
  5-6,108.13,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,8.18,0,0,0
  7-9,0,3.83,0,0,4.5,0,0,0,0,0,0,0,0,73.5,4.03,0,12.39,5.09,0,0,0
 10-12,0,0,0,0,3.3,0,0,0,0,0,0,0,0,58.95,0,0,32.04,0,0,0,0
 14-21,0,0,2.62,0,0,0,1.93,0,0,0,0,0,0.9,8.98,0,0,1.66,0,0,4.49,0
 24-34,0,0,0,0.62,1.64,0,0,0,0,0,1.51,0,1.35,40.24,0,0,0,0,0.67,2.44,0
 36-46,0,0,0,0,11.16,0,0,0,0,0,3.09,0,0,41.99,0,0,0,0,0,14.01,0
 48-58,0,0,0,0,4.54,0.42,1.09,0,0,0,1.95,0,0,12.71,0,0,0,0,0,0,0
 60-70,0,0,0,0,6.54,0,3.19,0,0,0,0.82,0,0.81,4.08,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.24,0,0.51,0,0,0.69,0.54,0,0.53,10.36,0,1.86,0,0,0,0,0
 84-94,0,0,0.95,0,0.63,0,0,0,0,0,2.22,1.91,0.76,9.33,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.24,0,0,4.02,0,0,0,0,0,0,0
108-118,0,0,0,0,3.25,0,1.14,0,1.43,0,0,0,2.35,1.38,0,0,0,1.29,0,0,0
120,0,0,2.11,0,0,0,3,0,0,0,11.77,0,0,6.13,0,0,0,0,0,0,2.66
