stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.77,0,311.38,1.02,18.63,0,1.12,0,0,0,0,280.74,0,0,0,0,0,0,8.2,0,0,8.88,41.54,0,0,0,1.37,0,0.94,217.78,0,4.16,14.29,0,0,0,0,0
 24-34,0,1.3,189.73,0.84,2.42,0,5.94,0,0,0,1.6,66.88,0,0,0,0.6,13.82,0,2.56,0,0,9.23,51.43,5.35,1.07,0,0,0.63,0,146.53,2.5,0,14.09,0,0,0,0,0
 36-46,0,0,20.93,0,0,0,7.57,0,0,0,2.39,80.89,0,0,0,0.72,33.68,0.91,0.78,1.68,0,0,81.41,0,0.8,0,0,3.27,0,108.62,0,0,9.66,0,0,1.67,0,0
 48-58,0,0,1.6,0,0,0,15.07,6,0,0.67,3,136.84,0.4,0,0,0,19.17,0.6,2.75,0.59,0.4,0.84,80.62,0,0,0,0,0.86,0,46.57,0,0,11.31,0,0,0,0,6.85
 60-70,0,0,0,2.89,4.68,2.1,22.48,0,0,0,3.06,171.31,0,2.33,0,0,40.23,0,5.37,0,2.73,6.37,83.75,0,0,0,0,1.07,0,54.68,0,0,6.2,0,5.41,3.78,0,1.87
 72-82,0,5.28,0.56,0,0.69,16.1,42.23,0,0,1.17,2.07,286.25,0,0.68,5.67,0,24.72,0,9.91,0,0,0,77.45,0.52,0,0,0,0,0,59.57,4.35,0,13.09,0,0,1.22,0.91,0
 84-94,0,3.62,10.44,0.87,2.25,65.2,18.73,0,0,0,0.82,395.51,0,0,0.86,0,39.75,0,23.48,0,0,0,81.33,0,2.29,3.55,0,1.2,0,112.99,0,0,3.21,0,0,0,0,0
 96-106,0,6.89,20.32,2.72,8.23,33.56,29.09,0.58,0,0,4.62,638.58,0,1.65,0.6,0.71,27.69,0,5.13,4.27,0,0,122.13,0,0,0,0,9.34,0,86.97,0.72,0,0,1.07,0,3.58,1.58,0
108-118,0,2.88,17.48,3.7,1.34,68.02,12.77,0,0.47,0,5.82,603.61,0,0,0.5,0,88.85,0,4.81,0,1.29,0.43,134.69,0,2.66,0.49,0,7.1,0,67.71,0,0,0,1.13,0,1.71,0.54,2.14
120,0,0,3.32,16.52,0,31.48,27.79,1.18,0,0,5.26,403.53,0,0,0,0,55.95,0,16,0,0,0,161.85,0,1.45,0,0,19.4,0,45.99,0,0,2.14,0,0,0,0,0
