stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,242.47,8032.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.19,0,0,0,0,0,0,0
  5-6,1599.98,50649.03,0,20.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5683.22,492.3,0,0,2660.7,251,0,0,0,0,0,0,0
  7-9,2655.12,6761.13,0,11492.26,0,0,0,681.31,0,0,0,0,428.72,0,0,0,0,0,0,0,0,0,0,0,143123.26,19654.73,0,0,237687.17,522.05,711.31,0,324.34,0,0,0,0
 10-12,0,4944.22,0,18694.9,0,110.29,0,793.05,0,0,0,0,363.19,0,0,0,0,0,0,0,0,0,0,0,138625.61,9942.71,0,0,200018.62,308.75,428.28,248.07,11194.99,0,381.38,768.49,0
 14-21,17.39,31.18,86.06,435.93,14742.78,595.01,0,19.75,5.3,0,1653.53,1287.02,25.93,0,0,61.89,0,0.92,13.82,1.08,1454.86,14.07,0,821.28,4539.17,2239.35,6.37,21.78,8473.49,383.65,6.65,13691.8,25.99,71.54,2102.59,27779.42,75.95
 24-34,0,0,19.77,81.12,102.49,5.15,0,13.88,0.75,0,600.54,111.03,0,0,0,3.89,3.74,0,2.21,0.74,108.53,0.83,0,28.19,333.92,69.24,1.04,0,0,15.52,0,0,2.17,9.29,195.32,2808.28,41.02
 36-46,0,0,4.21,2.15,0,1.26,0,3.91,2.46,0,37.02,16.04,0,0,0,0,0,0,5.46,0,9.92,0,0.8,0,57.75,2.39,0,0,0,3.08,0,0,0,0,0,436.57,0
 48-58,0,0,1.75,0,0.95,0,0,2.02,0,0,7.02,6.11,0,0,0,0,0,0,0.86,0,1.75,0,0,0,33.06,20.44,0,0,0,0,0,0,0,0,0,139.72,3.35
 60-70,0,0,4.85,0,0,0.58,0,2.77,0,0,12.32,8.91,0,0,0,0,0,0,0,0,1,0,0,1.48,36.2,0,0,0,0,0,0,0,0,0,0,50.97,0
 72-82,0,0,9.78,0,3.51,0,0,8.66,0,0,26.48,35.53,0,0,0,0,0,0,0,0,5.04,0,1.81,0,33.42,0,0,0,0,4.38,0,0,0,0,0,21.85,0
 84-94,0,0,17.61,0,0,0,0,6.52,0.91,0,25.5,31.33,0,1.46,0,0,0,0,0,0,6.51,0,0,0,8.35,0.56,1.79,0,0,0,0,0,0,0,0,16.67,0
 96-106,0,0,10.81,0,0,0,0,9.89,0,1.01,7.67,54.87,0,0,0,0,0,0,0,0,1.51,0,0,0,22.14,0,0,0,0,2.92,0,0,0,0,0,15.77,0
108-118,0,0,8.1,0,7.4,0,3.02,11.54,0.48,0,24.82,50.19,0,0,0.75,0,0,0,0,0,6.94,0,0,2.01,21.21,0,0,0.51,0,0.69,0,0,0,0,0,9.91,0.69
120,0,0,1.37,0,0,0,0,0,0,0,30.08,45.39,0,0,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,28.71,0
