stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,10.68,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,10.36,12.22,0,0,20.73,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,1.62,1.66,0.82,0,0
 24-34,1.64,0,0,0,0,0,0.62,0,0,0,14.35,0,0,0,0,0,0,0,0.77,0
 36-46,0,0,0,0,1.35,0,0,2.6,0,0,33.6,0,0,0,0,3.22,0,0,7.04,0.73
 48-58,0,1.74,3.41,0,1.1,0,0,0.81,0,0.37,36.29,0,0.81,0,0,0,0,0,5.44,1.72
 60-70,0,10.67,0,0,6.4,0.92,0,0.79,1.7,0,22.24,2.9,0,0,0,0,0,0,0,0
 72-82,0,25.94,0,0,1.36,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0
 84-94,0,22.57,0,0,0,0,0,0,0,0,14.24,0,0,0.56,0,0,0.6,0,1.07,0
 96-106,0,7.47,0,0,0,0,0,1.18,0,0,5.84,0,0,0,0,0,0,0,0,1.16
108-118,0,4.21,0,0.94,0,0,0,0,0,0,13.6,0,2,0,0,0,0,0,0,0
120,11.44,0,0,0,0,0,0,0,0,0,21.74,0,0,0,0,1.31,0,0,0,0
