stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.89,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,38.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,23.28,0,7.62,0,0,13.55,0,0,0,0,0,0,0,0
 14-21,0,0,13.65,12.72,29.82,0,5.09,0,1.74,0,6.1,16.15,0,0,0,0.97,0,0,0,0,2.95,0,0,2.87,47.11,1.33,0,48.92,1.5,0,8.24,0,5,82.59,0,0.86,34.86,0,0,26.08,0,0
 24-34,0,0.62,31.18,10.32,2.72,0,58.83,0,0,0,18.89,25.56,0,4.18,0,0,0,4.18,1.04,0,32.85,0,0,1.58,194.31,0,0,34.1,0,0,10.85,0.98,0,77.34,0,0,65.75,0,0,203.44,0,0
 36-46,0,0,1.32,6.87,19.16,0,71.45,0,0,0,48.31,7.61,0,5.03,0.89,0,0,6.42,6.19,0,47.73,0,0.55,0.93,113.81,0.56,0,27.6,0,0.77,13.57,0,0,45.15,0,0,71.96,0,0,127.25,0,1.26
 48-58,0,0,0.44,9.08,0.43,0,67.43,0,0,0.64,75.56,24.93,0.55,8.02,0.42,0,0,4.05,14.47,0,51.13,0,2.01,1.27,87.81,5.1,0,36.56,0,0.56,4.02,0,0,29.3,0,0,99.38,0,0,93.34,0,0
 60-70,0,0.65,0,8.08,4.64,0,123.28,0,4.21,0,115.29,30.13,0.97,5.02,7.21,2.65,0,3.31,12.75,0,64.16,0,1.04,0,81.41,2,1.19,24.39,0,0,0,0,0,18.71,0,0,63.32,0,0,74.68,0,0
 72-82,0,0.68,0.56,1.5,1.56,0,144.58,0.59,0,0,209.06,69.48,0,0,7.3,0.75,0.79,8.22,4.91,0,93.09,0,7.63,3.85,76.12,0,0,27.77,0,0,2.11,0,0,21.05,0,0,25.66,0,0.56,110.27,2.03,0.55
 84-94,0,0,1.01,4.36,8.68,1.73,138.83,0,0.62,0,182.15,104.17,0,5.2,3.34,1.56,0,7.18,13.18,5.93,119.93,0,10.4,0,78.9,0,1.95,29.49,0,5.14,3.49,1.4,0,40.53,0,0,36.34,0,0,80.76,0,0
 96-106,0,1.37,1.64,2.69,4.53,6.16,126.92,0,0,0,172.15,81.76,0,4.58,2.63,1.66,5.44,4.1,7.36,0,109.09,12.25,6.75,6.86,100.65,0,4.92,24.86,0,0,5.72,0,0,23.04,7.42,0,24.32,0,0.66,89.36,0.83,2.49
108-118,0,1.13,0.96,4.42,0,12.71,122.53,0,0.46,0,271.85,134.66,0,1.36,1.49,0.74,0,3.85,8.53,0,84.53,0,5.16,0,69.21,0.43,0.43,48.04,0,0,3.2,0,0,18.71,0,0,11.15,2.39,0,77.17,1.02,0
120,0,4.32,4.41,1.27,0,5.22,70.87,0,0,0,241.93,107.39,0,4.36,6.12,0,0,9.45,21.37,0,47.37,0,2.61,0,64.77,3.31,0,52.38,0,0,1.54,0,0,31.7,0,0,19.68,0,0,42.47,0,4.77
